,Shape,Orientation,Window to Wall Ratio,Height,Surface Area,Material,thickness,set point,Heating System,Cooling System,AC Type,Heater type,PVs,Ceiling fans,Others
20,L-Shape,South,0.57,15,182.61,Concrete,0.35,19,0,1,Package AC,Heat Pump,1,0,"TV, Fridge"
21,U-Shape,North,0.41,10,63.25,Concrete,0.26,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
22,Rectangular,South,0.41,10,209.64,Wood,0.28,21,0,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
23,Rectangular,South,0.33,15,156.96,Wood,0.29,21,0,1,Split AC,Heat Pump,0,0,"Microwave, Washer"
24,L-Shape,South,0.59,10,87.52,Steel,0.36,22,1,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
25,L-Shape,East,0.57,15,312.04,Steel,0.27,22,0,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
26,U-Shape,East,0.3,12,206.75,Wood,0.34,20,0,1,VRF,Heat Pump,1,1,"Oven, Dishwasher"
27,L-Shape,South,0.4,15,163.21,Steel,0.35,19,1,1,Split AC,Gas Heating,1,2,"Microwave, Washer"
28,Rectangular,East,0.36,10,158.68,Steel,0.34,19,1,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
29,L-Shape,South,0.42,18,213.66,Wood,0.36,22,0,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
30,U-Shape,East,0.4,12,100.91,Concrete,0.23,19,1,0,Package AC,Gas Heating,1,1,"TV, Fridge"
31,Rectangular,North,0.37,18,50.71,Concrete,0.3,19,0,0,Split AC,Gas Heating,1,2,"Oven, Dishwasher"
32,L-Shape,East,0.57,15,130.56,Wood,0.29,19,0,1,VRF,Heat Pump,0,0,"Oven, Dishwasher"
33,U-Shape,North,0.48,12,250.93,Wood,0.35,22,0,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
34,Rectangular,West,0.4,15,144.76,Steel,0.22,19,1,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
35,U-Shape,South,0.52,10,294.42,Concrete,0.27,21,1,1,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
36,L-Shape,North,0.41,15,130.79,Concrete,0.3,19,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
37,Rectangular,West,0.48,15,171.19,Wood,0.22,22,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
38,L-Shape,North,0.49,10,176.77,Wood,0.31,22,1,1,Split AC,Heat Pump,0,1,"TV, Fridge"
39,L-Shape,West,0.6,15,327.88,Steel,0.27,19,0,1,Split AC,Heat Pump,1,1,"TV, Fridge"
40,Rectangular,South,0.32,12,183.26,Wood,0.33,22,0,0,Split AC,Gas Heating,1,2,"Microwave, Washer"
41,Rectangular,South,0.56,10,344.36,Concrete,0.32,22,1,0,Split AC,Heat Pump,1,2,"TV, Fridge"
42,Rectangular,West,0.47,12,61.65,Concrete,0.32,22,1,1,Package AC,Heat Pump,1,2,"TV, Fridge"
43,Rectangular,West,0.56,12,280.25,Concrete,0.37,22,0,1,Package AC,Heat Pump,1,1,"TV, Fridge"
44,Rectangular,West,0.34,15,50.71,Concrete,0.22,20,1,0,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
45,L-Shape,North,0.35,10,83.05,Concrete,0.33,22,0,1,Package AC,Heat Pump,1,0,"TV, Fridge"
46,L-Shape,West,0.37,12,161.84,Wood,0.35,20,1,0,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
47,Rectangular,South,0.55,18,163.82,Steel,0.23,21,1,0,Package AC,Heat Pump,1,2,"Microwave, Washer"
48,L-Shape,East,0.5,12,50.71,Wood,0.27,21,1,0,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
49,U-Shape,South,0.42,12,224.2,Steel,0.25,22,0,0,VRF,Heat Pump,0,1,"TV, Fridge"
50,U-Shape,West,0.51,15,331.27,Concrete,0.21,19,0,0,Package AC,Heat Pump,0,1,"Microwave, Washer"
51,Rectangular,South,0.49,15,93.76,Wood,0.32,20,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
52,Rectangular,South,0.53,18,263.37,Concrete,0.35,21,0,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
53,L-Shape,West,0.53,15,113.16,Wood,0.38,22,1,0,Split AC,Heat Pump,0,2,"Microwave, Washer"
54,Rectangular,South,0.48,12,118.37,Steel,0.27,20,1,1,Package AC,Gas Heating,1,2,"TV, Fridge"
55,Rectangular,South,0.52,15,283.37,Wood,0.35,22,0,0,Package AC,Gas Heating,1,1,"Microwave, Washer"
56,Rectangular,North,0.57,15,165.94,Steel,0.23,20,0,1,VRF,Gas Heating,0,2,"Microwave, Washer"
57,U-Shape,North,0.31,10,88.58,Steel,0.39,21,1,0,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
58,Rectangular,North,0.44,10,216.61,Concrete,0.36,19,0,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
59,U-Shape,West,0.41,15,50.71,Wood,0.28,20,0,1,Split AC,Heat Pump,1,1,"TV, Fridge"
60,Rectangular,North,0.51,18,158.87,Concrete,0.23,22,1,1,VRF,Heat Pump,0,0,"Microwave, Washer"
61,Rectangular,North,0.54,18,243.04,Wood,0.31,19,0,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
62,L-Shape,South,0.48,18,83.26,Wood,0.34,21,0,0,Package AC,Heat Pump,0,1,"Microwave, Washer"
63,Rectangular,South,0.3,12,50.71,Steel,0.35,21,1,1,Split AC,Gas Heating,0,0,"Oven, Dishwasher"
64,Rectangular,East,0.48,10,50.71,Steel,0.37,20,1,1,Package AC,Gas Heating,0,0,"Oven, Dishwasher"
65,Rectangular,East,0.58,15,173.31,Wood,0.33,19,0,1,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
66,L-Shape,North,0.3,15,208.38,Steel,0.27,19,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
67,Rectangular,South,0.3,18,190.47,Concrete,0.26,19,0,0,Split AC,Gas Heating,1,2,"Microwave, Washer"
68,U-Shape,East,0.44,15,59.77,Concrete,0.25,22,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
69,U-Shape,East,0.39,18,133.34,Steel,0.27,20,1,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
70,U-Shape,South,0.39,18,137.25,Wood,0.2,20,0,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
71,U-Shape,North,0.56,15,166.45,Steel,0.22,19,1,1,VRF,Heat Pump,1,0,"TV, Fridge"
72,Rectangular,East,0.34,15,286.78,Steel,0.34,22,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
73,L-Shape,South,0.57,10,235.04,Steel,0.35,21,0,1,Split AC,Heat Pump,1,0,"TV, Fridge"
74,Rectangular,South,0.36,15,50.71,Steel,0.36,19,0,1,Split AC,Heat Pump,0,2,"TV, Fridge"
75,U-Shape,South,0.39,18,173.33,Steel,0.28,19,1,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
76,L-Shape,East,0.53,10,189.78,Wood,0.33,22,0,0,VRF,Gas Heating,0,2,"Microwave, Washer"
77,Rectangular,North,0.4,15,183.35,Concrete,0.2,22,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
78,Rectangular,East,0.3,18,50.71,Steel,0.24,20,0,0,Package AC,Gas Heating,1,1,"Microwave, Washer"
79,U-Shape,South,0.49,15,50.71,Steel,0.35,19,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
80,L-Shape,East,0.55,12,165.82,Wood,0.32,22,1,0,VRF,Heat Pump,0,1,"Microwave, Washer"
81,L-Shape,East,0.47,18,347.41,Wood,0.4,21,1,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
82,L-Shape,South,0.51,15,259.88,Concrete,0.39,19,0,0,VRF,Heat Pump,1,1,"TV, Fridge"
83,Rectangular,East,0.41,15,186.42,Wood,0.33,22,1,1,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
84,U-Shape,East,0.51,15,249.05,Steel,0.27,22,0,1,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
85,U-Shape,South,0.51,15,343.07,Steel,0.22,19,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
86,Rectangular,East,0.51,18,256.38,Steel,0.29,19,0,0,Package AC,Heat Pump,1,0,"TV, Fridge"
87,L-Shape,South,0.58,15,348.6,Steel,0.24,20,1,1,Package AC,Heat Pump,0,0,"Oven, Dishwasher"
88,Rectangular,East,0.48,15,87.73,Wood,0.36,22,1,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
89,Rectangular,South,0.51,12,50.71,Steel,0.27,19,1,0,Split AC,Heat Pump,1,0,"TV, Fridge"
90,U-Shape,South,0.49,15,240.65,Wood,0.24,22,0,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
91,L-Shape,North,0.47,15,104.24,Wood,0.21,22,0,1,Package AC,Heat Pump,0,0,"Microwave, Washer"
92,U-Shape,North,0.6,15,225.61,Steel,0.26,19,0,1,VRF,Heat Pump,1,1,"Microwave, Washer"
93,Rectangular,South,0.56,12,308.87,Wood,0.25,22,0,0,VRF,Gas Heating,0,1,"Microwave, Washer"
94,Rectangular,East,0.42,10,189.3,Steel,0.28,22,1,1,VRF,Gas Heating,1,2,"TV, Fridge"
95,L-Shape,West,0.5,10,50.71,Concrete,0.34,22,0,0,Package AC,Gas Heating,1,1,"TV, Fridge"
96,U-Shape,North,0.35,15,50.71,Wood,0.31,21,0,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
97,U-Shape,South,0.49,10,293.82,Concrete,0.38,21,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
98,Rectangular,East,0.47,12,142.05,Concrete,0.38,19,1,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
99,Rectangular,North,0.35,10,220.16,Steel,0.26,21,1,0,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
100,U-Shape,South,0.45,18,51.81,Concrete,0.25,19,0,0,Package AC,Heat Pump,1,0,"Microwave, Washer"
101,Rectangular,East,0.47,10,253.18,Wood,0.34,20,1,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
102,U-Shape,South,0.58,12,86.41,Wood,0.4,22,1,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
103,Rectangular,East,0.49,12,113.4,Wood,0.36,22,0,0,Package AC,Gas Heating,0,1,"TV, Fridge"
104,U-Shape,East,0.57,18,191.46,Concrete,0.3,20,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
105,Rectangular,South,0.49,18,230.59,Wood,0.25,20,1,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
106,Rectangular,South,0.51,12,194.15,Steel,0.37,22,1,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
107,Rectangular,North,0.51,15,311.96,Steel,0.32,19,1,1,VRF,Heat Pump,0,2,"Oven, Dishwasher"
108,Rectangular,South,0.36,18,216.33,Wood,0.29,22,0,1,VRF,Gas Heating,1,2,"Oven, Dishwasher"
109,L-Shape,West,0.42,15,118.22,Concrete,0.35,20,0,0,Package AC,Heat Pump,1,2,"TV, Fridge"
110,Rectangular,South,0.48,18,50.71,Wood,0.3,21,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
111,Rectangular,North,0.44,15,69.22,Concrete,0.39,21,0,1,VRF,Gas Heating,1,1,"Microwave, Washer"
112,U-Shape,East,0.47,18,85.16,Steel,0.3,20,0,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
113,U-Shape,North,0.55,15,131.62,Steel,0.21,21,0,1,VRF,Heat Pump,1,1,"Microwave, Washer"
114,U-Shape,South,0.6,12,50.71,Steel,0.26,21,0,1,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
115,U-Shape,South,0.55,12,83.43,Steel,0.38,19,0,0,Package AC,Heat Pump,1,0,"TV, Fridge"
116,U-Shape,South,0.55,10,50.71,Concrete,0.2,19,1,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
117,L-Shape,East,0.33,15,158.5,Wood,0.33,19,0,0,Package AC,Heat Pump,0,1,"Microwave, Washer"
118,U-Shape,South,0.32,15,50.71,Steel,0.31,22,1,0,Split AC,Heat Pump,1,2,"TV, Fridge"
119,Rectangular,South,0.5,12,86.25,Wood,0.33,22,0,1,Package AC,Gas Heating,0,0,"Microwave, Washer"
120,U-Shape,North,0.5,12,206.56,Steel,0.26,21,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
121,U-Shape,North,0.55,15,200.7,Steel,0.24,22,0,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
122,L-Shape,South,0.55,12,50.71,Concrete,0.2,22,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
123,Rectangular,East,0.48,12,65.95,Steel,0.31,21,1,1,Package AC,Gas Heating,0,1,"TV, Fridge"
124,Rectangular,East,0.44,10,198.29,Concrete,0.35,22,1,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
125,U-Shape,South,0.54,15,196.76,Wood,0.28,21,0,0,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
126,Rectangular,East,0.52,12,117.25,Concrete,0.32,19,0,0,Split AC,Gas Heating,1,1,"TV, Fridge"
127,Rectangular,North,0.36,18,50.71,Wood,0.35,22,0,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
128,Rectangular,South,0.6,10,89.47,Concrete,0.23,20,1,1,Package AC,Heat Pump,1,0,"TV, Fridge"
129,L-Shape,East,0.4,12,108.78,Steel,0.24,22,0,0,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
130,Rectangular,South,0.52,10,332.88,Concrete,0.25,20,0,1,Package AC,Heat Pump,1,1,"Microwave, Washer"
131,L-Shape,East,0.53,15,225.89,Concrete,0.32,20,0,1,VRF,Heat Pump,1,0,"Oven, Dishwasher"
132,U-Shape,North,0.55,15,314.75,Wood,0.33,22,0,1,VRF,Gas Heating,0,2,"TV, Fridge"
133,L-Shape,East,0.53,10,176.61,Steel,0.34,19,0,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
134,L-Shape,West,0.41,18,129.35,Concrete,0.35,19,0,1,Split AC,Heat Pump,1,2,"TV, Fridge"
135,Rectangular,South,0.39,15,258.15,Steel,0.24,19,0,0,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
136,Rectangular,East,0.36,18,201.93,Wood,0.31,22,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
137,U-Shape,North,0.57,12,178.16,Wood,0.23,21,0,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
138,L-Shape,West,0.35,15,98.98,Steel,0.27,22,0,1,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
139,Rectangular,East,0.41,10,71.47,Wood,0.38,22,1,0,VRF,Heat Pump,1,0,"TV, Fridge"
140,Rectangular,East,0.43,12,152.65,Steel,0.2,20,1,0,Package AC,Gas Heating,1,1,"TV, Fridge"
141,L-Shape,East,0.47,18,152.28,Steel,0.35,22,0,0,VRF,Heat Pump,1,1,"Oven, Dishwasher"
142,Rectangular,East,0.3,15,213.29,Steel,0.34,21,1,0,Split AC,Gas Heating,0,0,"Microwave, Washer"
143,U-Shape,East,0.44,12,234.03,Wood,0.28,22,0,1,VRF,Gas Heating,0,1,"TV, Fridge"
144,Rectangular,East,0.37,12,56.29,Steel,0.34,21,1,0,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
145,L-Shape,East,0.32,18,62.83,Wood,0.28,20,0,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
146,Rectangular,North,0.46,15,182.25,Steel,0.36,21,0,1,Package AC,Heat Pump,1,1,"TV, Fridge"
147,U-Shape,South,0.59,15,344.59,Concrete,0.28,21,1,1,VRF,Heat Pump,1,1,"Oven, Dishwasher"
148,L-Shape,South,0.37,15,50.71,Steel,0.34,21,1,0,Package AC,Heat Pump,1,2,"TV, Fridge"
149,L-Shape,North,0.48,10,237.93,Steel,0.36,22,0,1,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
150,Rectangular,East,0.37,12,256.86,Steel,0.29,21,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
151,U-Shape,East,0.32,10,289.0,Concrete,0.31,19,0,0,Package AC,Heat Pump,1,2,"TV, Fridge"
152,Rectangular,South,0.52,15,223.76,Concrete,0.38,22,0,0,Package AC,Heat Pump,1,1,"TV, Fridge"
153,Rectangular,South,0.39,10,277.37,Concrete,0.35,19,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
154,U-Shape,South,0.44,15,50.71,Steel,0.24,20,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
155,U-Shape,South,0.31,15,91.69,Steel,0.2,20,1,1,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
156,U-Shape,South,0.52,10,196.97,Concrete,0.25,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
157,Rectangular,South,0.6,18,175.0,Steel,0.37,22,1,1,Split AC,Gas Heating,0,2,"TV, Fridge"
158,U-Shape,East,0.52,10,257.84,Wood,0.34,19,0,1,Package AC,Heat Pump,0,0,"Oven, Dishwasher"
159,U-Shape,South,0.6,15,348.6,Steel,0.24,19,0,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
160,Rectangular,East,0.53,18,303.49,Concrete,0.25,21,1,0,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
161,Rectangular,East,0.43,15,113.57,Steel,0.37,20,0,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
162,L-Shape,East,0.48,12,91.7,Steel,0.2,20,1,1,Package AC,Gas Heating,0,0,"Oven, Dishwasher"
163,Rectangular,South,0.38,15,159.21,Steel,0.37,19,1,1,Split AC,Gas Heating,0,0,"Microwave, Washer"
164,Rectangular,South,0.35,15,188.89,Wood,0.34,20,1,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
165,L-Shape,South,0.6,15,251.23,Steel,0.38,19,0,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
166,L-Shape,South,0.6,10,255.44,Wood,0.34,22,1,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
167,U-Shape,North,0.56,15,313.38,Concrete,0.35,19,0,1,VRF,Heat Pump,1,2,"TV, Fridge"
168,U-Shape,South,0.56,10,265.16,Steel,0.37,21,0,1,VRF,Gas Heating,1,2,"TV, Fridge"
169,L-Shape,East,0.5,10,224.72,Steel,0.24,22,0,1,VRF,Gas Heating,1,1,"Microwave, Washer"
170,Rectangular,South,0.59,12,178.34,Wood,0.26,22,1,1,Split AC,Gas Heating,1,2,"Microwave, Washer"
171,L-Shape,East,0.52,18,167.35,Steel,0.23,19,0,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
172,Rectangular,South,0.6,15,122.81,Steel,0.29,21,0,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
173,L-Shape,North,0.53,10,257.24,Steel,0.21,22,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
174,L-Shape,South,0.59,15,260.06,Concrete,0.38,19,0,0,VRF,Heat Pump,1,0,"Oven, Dishwasher"
175,L-Shape,North,0.3,12,217.25,Steel,0.36,22,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
176,Rectangular,East,0.52,12,154.05,Wood,0.28,20,1,0,Package AC,Gas Heating,0,1,"Microwave, Washer"
177,Rectangular,East,0.58,10,260.17,Wood,0.34,22,1,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
178,U-Shape,North,0.6,12,335.66,Concrete,0.31,22,0,1,VRF,Heat Pump,1,1,"TV, Fridge"
179,Rectangular,South,0.49,18,150.72,Concrete,0.31,22,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
180,U-Shape,East,0.37,15,191.18,Concrete,0.27,20,0,0,VRF,Heat Pump,1,1,"TV, Fridge"
181,U-Shape,North,0.36,15,248.53,Steel,0.28,20,0,0,Split AC,Heat Pump,0,2,"TV, Fridge"
182,U-Shape,East,0.42,15,241.1,Steel,0.39,22,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
183,Rectangular,East,0.44,15,177.72,Concrete,0.3,21,0,1,Package AC,Heat Pump,1,1,"Microwave, Washer"
184,L-Shape,East,0.55,18,308.14,Steel,0.27,19,1,0,Split AC,Heat Pump,1,1,"TV, Fridge"
185,L-Shape,South,0.5,10,296.98,Wood,0.24,20,1,0,VRF,Heat Pump,0,1,"Microwave, Washer"
186,Rectangular,South,0.49,18,120.71,Wood,0.38,22,1,1,Split AC,Gas Heating,1,0,"TV, Fridge"
187,U-Shape,South,0.6,15,348.6,Wood,0.34,21,1,0,Split AC,Heat Pump,1,1,"TV, Fridge"
188,Rectangular,North,0.54,10,74.95,Concrete,0.35,20,0,1,Package AC,Gas Heating,1,1,"Microwave, Washer"
189,L-Shape,South,0.49,12,179.57,Steel,0.34,22,1,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
190,Rectangular,West,0.5,18,348.6,Wood,0.25,21,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
191,Rectangular,East,0.54,12,103.98,Steel,0.3,20,1,1,Split AC,Heat Pump,0,2,"TV, Fridge"
192,Rectangular,East,0.47,10,175.82,Steel,0.2,22,1,1,Package AC,Heat Pump,0,2,"TV, Fridge"
193,L-Shape,South,0.56,12,232.46,Steel,0.35,22,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
194,Rectangular,South,0.57,12,182.96,Wood,0.2,20,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
195,Rectangular,South,0.43,10,179.97,Steel,0.22,22,0,1,Package AC,Heat Pump,1,0,"TV, Fridge"
196,Rectangular,West,0.52,15,347.3,Steel,0.24,21,0,1,Package AC,Heat Pump,0,0,"Oven, Dishwasher"
197,L-Shape,South,0.32,15,79.76,Wood,0.37,19,1,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
198,Rectangular,South,0.54,12,64.96,Wood,0.2,20,0,0,VRF,Gas Heating,1,1,"Microwave, Washer"
199,Rectangular,East,0.32,15,182.87,Steel,0.37,21,1,1,Split AC,Heat Pump,0,0,"Microwave, Washer"
200,U-Shape,North,0.45,15,50.71,Wood,0.36,22,0,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
201,L-Shape,North,0.56,18,320.45,Steel,0.31,20,1,0,VRF,Heat Pump,1,1,"TV, Fridge"
202,Rectangular,East,0.37,15,246.3,Steel,0.28,22,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
203,L-Shape,East,0.36,15,67.88,Steel,0.28,20,0,0,Split AC,Gas Heating,1,1,"Oven, Dishwasher"
204,Rectangular,East,0.38,18,50.71,Wood,0.4,20,1,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
205,U-Shape,South,0.47,15,50.71,Wood,0.37,22,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
206,Rectangular,East,0.53,15,308.65,Steel,0.3,21,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
207,U-Shape,East,0.48,15,212.66,Concrete,0.38,19,0,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
208,L-Shape,West,0.36,15,102.21,Concrete,0.37,22,0,1,VRF,Heat Pump,1,1,"TV, Fridge"
209,L-Shape,South,0.49,10,192.83,Steel,0.31,22,0,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
210,U-Shape,West,0.47,12,50.71,Steel,0.24,21,0,0,VRF,Heat Pump,1,2,"Microwave, Washer"
211,U-Shape,East,0.44,10,79.32,Steel,0.33,22,0,1,Split AC,Gas Heating,1,1,"Oven, Dishwasher"
212,Rectangular,South,0.56,12,324.49,Wood,0.34,22,0,1,Package AC,Heat Pump,1,1,"Microwave, Washer"
213,L-Shape,North,0.52,15,119.68,Wood,0.22,21,0,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
214,L-Shape,South,0.35,15,88.06,Concrete,0.4,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
215,Rectangular,West,0.51,10,55.01,Wood,0.25,19,0,1,Package AC,Heat Pump,0,0,"Oven, Dishwasher"
216,Rectangular,South,0.31,15,150.72,Wood,0.32,21,0,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
217,Rectangular,East,0.4,18,53.53,Steel,0.29,20,0,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
218,Rectangular,South,0.41,12,50.71,Concrete,0.34,21,1,0,Split AC,Heat Pump,0,2,"TV, Fridge"
219,Rectangular,East,0.49,10,180.93,Steel,0.25,20,1,0,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
220,L-Shape,North,0.4,10,68.96,Concrete,0.36,22,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
221,Rectangular,South,0.48,18,150.17,Concrete,0.39,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
222,Rectangular,South,0.59,12,155.75,Wood,0.2,19,1,1,VRF,Heat Pump,0,0,"TV, Fridge"
223,Rectangular,East,0.53,15,216.32,Steel,0.2,20,0,0,Package AC,Gas Heating,1,2,"Microwave, Washer"
