,building_type,sqft,yearbuilt,numberoffloors,airTemperature,humidity,power_consumption
25,Other - Education,28007.0,1952.0,6.0,15.638390650122998,63.23983516031381,56.43857354867441
26,Residence Hall,330530.0,2000.0,12.0,22.9092752803839,71.15945895698599,1431.028427302162
27,Warehouse,45309.0,1921.0,4.0,10.505808094776485,83.9177830331341,7.567842156039937
28,Retail,17472.0,2017.0,3.0,23.34342434040526,71.09711562397004,4.238877230202146
29,Other - Public Services,31120.0,1924.0,5.0,15.574035569767995,62.41566783263166,63.12469981705979
30,Fitness Center,21545.0,1957.0,13.0,25.075584311937067,25.94313656268508,122.10268708400814
31,Urgent Care Center/Clinic/Other Outpatient Office,26958.0,1953.0,7.0,15.41078653480804,69.8402724452104,663.6097102150715
32,Primary/Secondary Classroom,11875.0,1961.0,1.0,13.220508736002774,84.17497873648375,0.0197319881440948
33,Education,25261.0,1938.0,3.0,15.013424053131772,71.584651574819,58.494955577028165
34,Sports Stadium,16516.0,1954.0,22.0,25.075584311937067,28.05111842738194,76.76956032265821
35,Prison/Incarceration,180281.0,2004.0,25.0,10.16005963239722,62.00830663013289,229.85336821632964
36,K-12 School,81941.0,1926.0,15.0,15.486388268344827,63.0606208338276,119.48934662031643
37,K-12 School,70547.0,1902.0,12.0,15.676002794565463,62.49884973361442,152.9652363849845
38,Primary/Secondary Classroom,23932.0,1985.0,1.0,12.819832550612823,84.17497873648375,9.70182351105733
39,Swimming Pool,2229.0,1968.0,5.0,24.10595245650039,25.5083874959562,133.97269902114436
40,Museum,104426.0,1975.0,12.0,23.03040913284942,27.16463129307703,975.9220818330552
41,K-12 School,62648.0,1996.0,12.0,15.55610907039745,61.54997527499837,98.28414797909728
42,Greenhouse,17139.0,1971.0,2.0,9.889808404250367,84.17497873648375,61.04525753788816
43,Entertainment/public assembly,51819.0,2005.0,6.0,15.399062820200266,71.9068664503885,38.74540342688874
44,Police Station,36283.0,1929.0,7.0,15.867903107883329,61.52265049225952,188.52683198810678
45,Support,140812.0,1982.0,8.0,12.344589788959965,64.11556856905244,130.21888650863644
46,Community Center,9897.0,1992.0,2.0,9.351299298186552,83.90519445791841,0.0197319881440948
47,Parking: Enclosed Garage,219665.0,1970.0,10.0,9.850596435443839,64.52541323952352,137.31887553361582
48,Entertainment/public assembly,283.0,1954.0,2.0,15.234625704050329,70.89808664484113,20.63335785811362
49,Research,28511.0,1958.0,6.0,12.27332725131224,62.6242816801751,46.57227646199006
50,"Fire Station, Fire Stations",37571.0,1962.0,1.0,22.07391002190344,70.5236221733033,36.9032518507995
51,Other - Entertainment/Public Assembly,19607.0,1973.0,7.0,11.835714191881355,62.99020739271489,66.28695000243792
52,Education,215457.0,1935.0,6.0,15.102408559932861,71.32248496024657,50.44512881262287
53,Swimming Pool,212815.0,1982.0,6.0,15.485496753305192,62.16363225759088,435.2549421018972
54,Education,117673.0,2003.0,6.0,15.048242746520023,71.24279355817475,110.49131554502637
55,Campsites,9393.0,1977.0,1.0,10.490337814345496,84.17497873648375,0.581825700571283
56,Primary/Secondary Classroom,3801.0,1963.0,2.0,10.81825624501687,84.17497873648375,0.0197319881440948
57,Library,26944.0,2009.0,13.0,15.667508458530106,61.53873058190408,962.1013058235742
58,K-12 School,67520.0,1961.0,7.0,15.722633871433333,61.76082124537228,32.17501787070657
59,Swimming Pool,73268.0,1926.0,8.0,15.662382744195531,61.43273274862066,167.21222273985524
60,Other - Recreation,67965.0,1900.0,11.0,15.411983408716795,61.25409041684211,24.877893878217257
61,Recreation Center,26619.0,1983.0,1.0,23.2468678825388,70.99248330203933,22.85953718668756
62,Community Center,11706.0,1972.0,1.0,9.306999567074785,83.38785944648669,12.410743530829691
63,Retail Store,18396.0,1953.0,3.0,15.824989996677322,61.22814382089124,14.436593912255898
64,Theater,27601.0,2002.0,2.0,15.005231990989632,71.99580194494263,23.575875676878212
65,Other,5454.0,1918.0,4.0,22.79944882578762,82.7978639172902,33.667507632766394
66,Support,182369.0,1981.0,14.0,13.545090902352083,63.34946045555761,309.41913416046873
67,Office,11266.0,1906.0,7.0,9.258736511074101,63.54919657374874,29.555768747527306
68,Warehouse,18134.0,1991.0,6.0,10.23562592222441,83.06319105415075,40.631240477137965
69,Research,122674.0,1971.0,8.0,22.6430901029049,62.5517800980476,1073.6400552209682
70,Community Center,283.0,1977.0,1.0,10.74616031386187,83.67860615568426,1.500544837840799
71,Hospital (General Medical & Surgical),412248.0,1927.0,29.0,22.366404961657008,61.88580450340406,1244.5242145993825
72,Conference Center,17966.0,1967.0,6.0,22.073581777489203,27.02983315659492,19.977352899268972
73,Social/Meeting Hall,12799.0,1969.0,3.0,15.456618113835624,61.94680326135157,84.45493893163777
74,Technology/science,46163.0,1915.0,6.0,15.142890581139177,70.76492407257716,107.98934148052976
75,Dormitory,122933.0,1969.0,2.0,9.37957120054782,71.42280656318731,24.967082847660695
76,Other - Public Services,26919.0,1915.0,12.0,15.433687826547448,62.08983570336979,1.3554676869021343
77,Entertainment/public assembly,4876.0,1931.0,2.0,15.03258878336154,72.0726215555741,40.780803482254065
78,Library,320703.0,1949.0,25.0,15.252957254307441,62.13224346269698,108.29019893987149
79,Recreation Center,5735.0,1913.0,3.0,22.58936470900843,71.21153105678776,0.0197319881440948
80,Other - Recreation,32890.0,1949.0,4.0,15.660777148601357,63.04805074163804,44.719060194358796
81,Auditorium,26441.0,1918.0,10.0,10.082178334088969,83.72098145733216,30.29745272275838
82,Sports Facility,28404.0,1947.0,2.0,11.26639504759894,45.69999344198869,2.9593829396673783
83,Conference Center,47822.0,1965.0,1.0,9.137860615068462,72.10966867884645,109.99908629845108
84,Other,1636.0,1998.0,1.0,22.81385422346656,71.03096385086178,64.81871917404712
85,Non-Refrigerated Warehouse,74565.0,1937.0,11.0,15.379724535890631,62.22202382298175,54.37653639887551
86,Auditorium,198139.0,1952.0,3.0,8.962436973868144,64.50967614184488,29.316139893242077
87,Dormitory,30085.0,1937.0,6.0,9.739993204982296,71.84828679783571,51.745094924566104
88,Other - Public Services,6273.0,1972.0,4.0,15.666020371495392,62.5405011917242,29.24041822294793
89,Theater,101907.0,1959.0,9.0,22.032576770155643,63.53063301155915,76.00331285071576
90,Ice Arena,833260.0,1932.0,10.0,10.070577978649718,62.79422391977204,184.62185338938747
91,Community Center,283.0,1955.0,2.0,9.866574339078541,84.11605156009246,0.0197319881440948
92,Non-Refrigerated Warehouse,31331.0,1963.0,11.0,15.492045826613012,62.29710420096009,12.908060327119674
93,Community Center,7603.0,1971.0,1.0,10.736548291725743,83.75834635028349,0.0197319881440948
94,Other - Recreation,23794.0,1921.0,4.0,15.867950102707878,61.68769649959382,32.836712775760105
95,K-12 School,70169.0,2005.0,7.0,15.465255181064434,62.28000835977738,157.2317553026008
96,Police Station,145305.0,2012.0,12.0,15.364705389829181,61.721048297942,88.78812741143321
97,Other - Lodging/Residential,40346.0,1914.0,6.0,15.476091395400864,62.21988511662514,31.780394063347323
98,Manufacturing Facility,456042.0,1981.0,18.0,9.397013408852654,62.39109230828772,1035.2488334079067
99,Maintenance Repair Shop,32342.0,1924.0,11.0,9.790272514231756,63.74955590131822,15.956224629251452
100,Dormitory,56434.0,1934.0,1.0,9.124258679119151,71.67998527265038,48.85261708567073
101,Research,195034.0,1981.0,10.0,13.022026681226968,62.59130293497544,374.40247830875717
102,Greenhouse,15229.0,1995.0,3.0,11.700612819710566,83.40731333966626,278.530464518977
103,Greenhouse,11643.0,1913.0,2.0,10.34938186192286,83.4894523601319,15.956634051663563
104,Patient Care,76710.0,1908.0,13.0,15.428399747888808,63.47964010040413,101.37319065158721
105,Other,9872.0,1918.0,1.0,23.408324092763557,71.66989609969997,40.03823766162264
106,Office,173114.0,1973.0,5.0,10.068975617921097,63.4602697608237,96.34063957473874
107,Other - Recreation,13343.0,1911.0,6.0,15.213252690024728,60.93841657575454,26.115135535147594
108,Other - Recreation,13171.0,1969.0,9.0,15.478702999487028,62.51980278714199,46.354948939444824
109,Education,18342.0,1941.0,1.0,14.808581997176901,71.52082830967623,29.238091171488463
110,Office,101861.0,1941.0,2.0,9.992407350059807,63.4759611311178,141.59585562111636
111,Hospital,127152.0,1931.0,9.0,9.485133671873562,63.35764880343341,229.6722628219298
112,Manufacturing Facility,159050.0,2005.0,18.0,8.973479883374146,63.14316132364659,152.96501434375205
113,School,77263.0,1915.0,1.0,11.344309542683192,82.07299773809353,11.592965849169463
114,Other,268606.0,1943.0,7.0,22.155723049136682,70.72868715525041,763.3523707623947
115,"Community Center, Community Centers",762.0,1963.0,2.0,21.94429004147142,71.38296536255781,46.71728039356899
116,Dormitory,74831.0,1951.0,8.0,9.729572299884722,84.17497873648375,108.47202211304365
117,garage,310799.0,1964.0,10.0,9.936653619253523,62.88175019436355,251.134170443727
118,Parking: Enclosed Garage,251980.0,1948.0,14.0,9.540857252387337,63.55126542695273,477.0207928442864
119,Fitness Center,114895.0,1947.0,11.0,8.785473254289053,77.32113688876969,30.713690506088867
120,Non-Refrigerated Warehouse,37759.0,1927.0,4.0,15.490080656654218,61.75741093361558,3.723671542257538
121,Parking Garage,112794.0,2017.0,13.0,24.785849822260765,70.3641902628181,0.0197319881440948
122,Other - Public Services,30343.0,1912.0,11.0,15.445685292457648,62.75784773050168,9.602922850368145
123,Office,70656.0,2004.0,5.0,9.684391700394508,63.39227972476371,93.65913339887771
124,Athletic Field,18648.0,1907.0,9.0,23.137804081427934,63.46431381754815,59.90858010151063
125,Education,15055.0,1937.0,2.0,15.315002633627447,71.02563605428574,44.8854815675878
126,Sports Stadium,10677.0,1944.0,10.0,25.075584311937067,26.36152338508605,42.175131433512654
127,Parking Garage,116744.0,1967.0,1.0,22.24345497421621,71.44220523537902,226.30976739318976
128,Residence Hall,13680.0,2010.0,3.0,22.863386865559743,71.40243103254888,19.180414693674578
129,Greenhouse,283.0,1980.0,1.0,10.249263315323319,82.50628198176351,22.8129688949706
130,Residence Hall/Dormitory,58351.0,1931.0,1.0,11.669797544054452,43.79279347133428,25.726135876565554
131,K-12 School,123553.0,1974.0,8.0,15.688320146679041,62.55529753077532,63.03599721821493
132,Fitness Center,28031.0,1969.0,10.0,25.075584311937067,25.5083874959562,66.58726076935123
133,Residence Hall,122816.0,2011.0,7.0,23.857694534397236,70.12035579321878,33.89802437667982
134,Sports Facility,12632.0,1932.0,1.0,10.84378684188767,42.37484009807924,40.09948955068269
135,Other,998.0,1994.0,3.0,22.45481842806699,71.36710698187836,12.765698523925849
136,Greenhouse,9078.0,1973.0,7.0,10.2668005380779,28.15205755640481,14.333946601350792
137,Police Station,58101.0,2000.0,17.0,15.959785148740943,61.70045341558564,122.07676482144906
138,Prison/Incarceration,277663.0,1999.0,11.0,15.732733437595337,62.01534107489638,30.87627972984794
139,Residence Hall,42344.0,2012.0,3.0,25.075584311937067,71.1441225359061,108.92914865932238
140,Sports Stadium,124437.0,1975.0,10.0,25.075584311937067,28.58273015108064,95.31352897938766
141,Retail,14043.0,1997.0,9.0,9.843591230507077,72.07109695824772,150.32378678388685
142,Campsites,830.0,1962.0,1.0,9.933977474741999,71.1051849950471,12.366620298370055
143,Other/Specialty Hospital,13084.0,1955.0,9.0,15.751252150223229,62.64363766135678,0.0197319881440948
144,Dormitory,66364.0,1953.0,6.0,9.895299867704907,84.17494983887792,140.81655481611367
145,Gymnasium,76984.0,1938.0,3.0,9.997304547414407,71.7521539108451,0.0197319881440948
146,Residence Hall,245602.0,2003.0,9.0,24.196328714170704,70.27557608070735,133.2430589152746
147,Fire Station,14057.0,1973.0,2.0,15.459812842861625,62.56663657775486,3.2900415682032715
148,Education,24085.0,1955.0,3.0,15.459252887488192,71.80122736730523,44.93902984528914
149,Support,60574.0,1973.0,3.0,13.885657492768628,62.91491659560386,146.7554450875131
150,Other,796.0,1959.0,1.0,24.130745696222768,70.96386841131029,23.37562851731315
151,Entertainment/public assembly,283.0,1922.0,2.0,8.004087651018189,71.73681807208106,21.39318553226582
152,Restaurant,59600.0,1917.0,3.0,21.80940342684503,71.21681299992514,132.65896263196137
153,Health Services,32233.0,2007.0,11.0,24.633275383698432,25.82610116723433,41.68128243072813
154,Entertainment/public assembly,3241.0,1934.0,1.0,15.027091979747937,71.48164265505008,46.595435589686446
155,Theater,51954.0,2013.0,22.0,22.958213159328587,63.75804919597601,83.6319599247997
156,Parking: Open Air Ramp,65683.0,1978.0,10.0,10.017371804564357,62.89473629600666,53.70472788078118
157,Warehouse,28272.0,1971.0,3.0,24.97644074259925,71.74477807794608,50.04106076559449
158,Public services,283.0,1956.0,5.0,15.02913029964492,71.5115103432477,41.04713345076257
159,College Laboratory,43053.0,1996.0,9.0,11.211924922185675,63.40783683945681,171.57136796166637
160,"Park, Community Centers",10025.0,1922.0,1.0,22.81501758597274,71.75207244957909,18.58625361020269
161,Dormitory,14479.0,1996.0,2.0,9.233075363845293,71.10122150155587,43.78768657072591
162,Gymnasium,249494.0,1959.0,6.0,9.141264438423056,72.18148308014482,213.37501800744087
163,Classroom,4498.0,1983.0,6.0,23.004294853268664,71.39114222599322,276.78691063225966
164,Dormitory,67211.0,1923.0,6.0,9.850032491920983,63.89175211750998,147.0889420818011
165,Classroom,34607.0,2003.0,6.0,23.22843384231724,70.09793757726788,560.3974319306092
166,Patient Care,82741.0,1973.0,8.0,12.367522327873218,63.27813846618705,144.7467165912821
167,Student Union,364374.0,1991.0,28.0,21.45363594811225,71.29888916393598,896.9369346786654
168,Parking Garage,338860.0,2003.0,20.0,23.928610683785774,70.87755805956358,0.0197319881440948
169,Other - Public Services,10753.0,1969.0,3.0,15.693018930446039,61.77612192089291,21.05359180505492
170,Office,17379.0,1973.0,11.0,11.49822340185784,63.6575665974142,361.62874790452486
171,Lodging/residential,62586.0,1939.0,9.0,15.04148258615461,71.32679209091182,0.0197319881440948
172,Animal Shelter,65670.0,1911.0,3.0,10.678945466531479,63.11198666094899,0.10189928114628088
173,Support,86704.0,1984.0,7.0,13.668183991509759,63.14183135181287,136.1740586941636
174,College Classroom,123193.0,1952.0,7.0,10.316316014320535,71.85197030757068,85.79624291732307
175,Residence Hall/Dormitory,129143.0,1927.0,1.0,11.316037703328853,45.08680196554904,164.47644935035285
176,Theater,178376.0,2008.0,7.0,21.857612811987444,72.00547934189535,38.179345335753666
177,Other - Public Services,11297.0,1928.0,6.0,15.717637973314698,61.99464797011805,12.629005768605506
178,Fitness Center,45183.0,1997.0,14.0,24.575072218463042,25.91088171830916,84.88785877825109
179,Fitness Center,245793.0,2004.0,9.0,24.56387402641142,27.1203870564643,345.85060055025724
180,"Fire Station, Fire Stations",20310.0,1919.0,2.0,22.705953171196633,71.1928064938844,1.8253272232937654
181,Conference Center,40579.0,1946.0,13.0,8.368404302788381,62.98375584406754,417.7939004761942
182,Stadium,47318.0,1977.0,11.0,22.9844546176268,71.8460590147741,60.87334252806297
183,Industrial,283.0,2003.0,2.0,10.974513997340903,84.17497873648375,69.38652539547155
184,Sports Stadium,30301.0,1956.0,4.0,24.16404070232435,72.13751861114531,38.43142946521874
185,Other - Recreation,18330.0,1964.0,1.0,15.36238282218737,62.20963737196848,34.855931839456176
186,Other - Public Services,84161.0,1919.0,2.0,15.473882455913289,63.2584648625924,1.8095616930712808
187,Other - Lodging/Residential,11347.0,1970.0,2.0,15.453212112331006,61.85538712277626,0.0197319881440948
188,Education,211470.0,1953.0,2.0,14.886232324010388,72.15711136763619,137.07983132555827
189,Gynasium,93477.0,1944.0,5.0,15.318840494136754,61.43456755077964,22.441244331708432
190,Dining,52980.0,1976.0,5.0,13.718172599308781,63.53749577743014,180.03839079798934
191,Gymnasium,164893.0,1979.0,7.0,8.95360957702559,63.86413453318248,264.102443907939
192,Parking,103953.0,1980.0,3.0,22.883858362670907,27.20679220949819,41.63175396152927
193,Other - Lodging/Residential,23466.0,1931.0,3.0,15.740988295658111,61.5902433219665,22.338250397238657
194,Other - Education,86778.0,1912.0,9.0,15.517548700969607,63.19033632743012,67.8739598621911
195,Lodging/residential,12329.0,2010.0,5.0,15.28506189983657,71.5025207557441,0.0197319881440948
196,Other - Lodging/Residential,283.0,2007.0,3.0,15.724267532783891,62.19184047510799,18.01015667749116
197,Fire Station,283.0,1922.0,14.0,15.986978297652435,61.91376690879287,27.034098477306422
198,Fitness Center,710613.0,1911.0,22.0,25.075584311937067,27.58872382608142,76.82650044174193
199,Office,12041.0,1975.0,6.0,9.863796017016966,63.16113284424313,32.367040571879265
200,Education,22220.0,1975.0,3.0,14.957794778746214,71.50490252200252,41.71017915208158
201,Other - Recreation,11631.0,1976.0,7.0,15.338074190238963,61.88814000213275,32.352822774292754
202,Academic,135081.0,1991.0,4.0,9.465220174274808,45.21602510364312,53.31949654392572
203,Public Service,28078.0,2003.0,9.0,12.533642497398828,63.15067407685232,53.69359890506898
204,Park,283.0,1975.0,1.0,21.909104335818938,71.35943003660066,20.100789055831584
205,Other/Specialty Hospital,6715.0,1959.0,10.0,15.734908205868997,62.14623271341105,22.10451550667927
206,Sports Stadium,30847.0,1960.0,23.0,24.92528758302537,26.18368226161758,325.8790277381145
207,Classroom,169903.0,1940.0,2.0,23.594264156641312,70.89093344545621,303.1875103595607
208,Other - Recreation,5511.0,1960.0,10.0,15.37122635169718,62.16801520910759,22.913849594089903
209,Support,150159.0,1971.0,8.0,12.066572397620781,63.26072525866473,177.20408044904173
210,Academic,148182.0,1932.0,1.0,10.12911727583775,45.7204647856966,121.31977895004312
211,Residence Hall/Dormitory,44695.0,1903.0,2.0,11.702527123673818,44.38133593554115,28.98579381011141
212,Office,43966.0,1919.0,11.0,15.534690861340515,63.15845153674164,0.7287647485006943
213,Multifamily Housing,25199.0,1924.0,6.0,15.401329912021055,63.00486243414779,0.0197319881440948
214,Park,283.0,2010.0,1.0,23.81164043897599,71.27003268295114,19.261371158724664
215,College Classroom,61482.0,1977.0,12.0,23.94082491020021,25.74733283727948,85.9185607223243
216,Office,90696.0,1905.0,3.0,10.294469527130392,63.76003354497338,101.24857673838659
217,Housing,177245.0,1968.0,5.0,12.543283076559087,62.64230677497537,285.77173049516927
218,Retail,305632.0,2003.0,5.0,21.893714885448237,71.1221527661132,252.27120062864302
219,Primary/Secondary Classroom,20623.0,1993.0,1.0,12.481917483144297,84.17497873648375,0.3623919530398041
220,K-12 School,51378.0,1952.0,7.0,15.51728937958822,62.54786373047173,7.939512973176342
221,Sports Facility,19520.0,1975.0,1.0,11.652967637090898,84.01359858067339,23.704467566866843
222,Classroom,42729.0,2001.0,2.0,25.075584311937067,71.29474686800211,18.963981382033268
223,"Community Center, Community Centers",33819.0,1952.0,3.0,22.5234184961228,71.69058704093196,48.73765490160271
224,Dormitory,83718.0,1993.0,5.0,9.5542301266443,71.37122016201971,158.28620893002594
225,Public services,73258.0,1931.0,4.0,15.136899665427022,70.6549337051227,69.51206388237361
226,Housing,67379.0,1912.0,21.0,13.354858897868146,61.852874823688,190.81238313616882
227,Residence Hall,26613.0,2017.0,11.0,24.056574874696004,71.1497738954976,72.60051879008901
228,Residence Hall/Dormitory,60045.0,1923.0,1.0,11.418994554586892,44.74615928436198,104.49174798668992
229,Sports Arena,51829.0,2004.0,13.0,24.465440702577617,62.49259776442324,246.03478600413328
230,Education,37594.0,2002.0,4.0,14.97555379187277,70.98779976712974,38.69806087938912
231,Hospital,121310.0,1931.0,4.0,9.33469564910698,71.91023619692236,234.16628680107561
232,Sports Stadium,171123.0,1956.0,10.0,24.058216673838857,71.0344792286986,111.25404484092557
233,Education,72325.0,1948.0,2.0,15.378655747601575,71.8546171691855,30.91290766586926
234,Dormitory,141659.0,1908.0,2.0,9.388376040909597,47.80671258166601,121.42494154664034
235,Research,211150.0,1969.0,10.0,12.487526529472893,63.0263792903221,177.32689055230904
236,Other - Recreation,21702.0,1916.0,9.0,15.63584244927851,61.71416928970402,3.9247599455301234
237,Student Union,62546.0,1975.0,15.0,25.075584311937067,26.70290270356336,32.90719682767938
238,Housing,19566.0,1987.0,7.0,12.984817408577241,62.92451184706513,25.397065095527612
239,Classroom,442.0,2001.0,11.0,22.54664992730929,70.3614840994161,44.294609123868845
240,Other - Lodging/Residential,283.0,1960.0,4.0,15.766971833042575,61.29828019063558,5.124343873143701
241,Other/Specialty Hospital,49484.0,1930.0,13.0,15.610619455195412,62.21278787901721,117.42930588871363
242,Senior Care Community,20376.0,1923.0,2.0,15.637378692034627,62.0303889328534,22.84757984210034
243,Office,131698.0,1966.0,10.0,9.533914298296962,63.5061736896448,77.6199681502283
244,Research,321066.0,1953.0,22.0,24.430768582120347,62.6107757496246,502.0999181906509
245,Dining,338684.0,1973.0,9.0,12.791307526615354,63.13783726597424,97.77062211870634
246,Office,167958.0,1953.0,7.0,21.539277359548617,63.66857365443655,40.92156224882744
247,College Laboratory,219484.0,1969.0,11.0,8.444840277264024,62.95366371318045,1043.2836151843987
248,Sports Facility,110471.0,1941.0,1.0,10.609014012427,44.84962771083106,38.82940520915848
249,Entertainment/public assembly,10833.0,1920.0,1.0,15.055654427998329,70.53845958117577,43.28606463186974
250,Hospital,143771.0,1942.0,6.0,9.726350787080756,79.05616472586311,364.27231249402456
251,Retail,44095.0,2001.0,2.0,23.635090502386344,70.661089066952,0.12053750284409048
252,Park,2567.0,1954.0,1.0,23.761516450530582,70.5401998557026,0.0197319881440948
253,Restaurant,14532.0,1921.0,2.0,10.406996721440665,71.29635524798877,27.43984083299159
254,K-12 School,676322.0,1979.0,18.0,15.613814710924615,62.30176844905551,99.08253760157005
255,Entertainment/public assembly,9006.0,1926.0,2.0,15.01520985646464,72.12880760669226,37.46197086951579
256,Primary/Secondary Classroom,9722.0,1962.0,1.0,10.33611433525209,84.17497873648375,0.0197319881440948
257,Hospital,35576.0,2004.0,3.0,12.259649730310604,74.11369147603496,15.62925783144573
258,Primary/Secondary Classroom,20904.0,1975.0,1.0,9.93749350950017,84.17497873648375,0.0197319881440948
259,Gynasium,17270.0,1918.0,3.0,15.436200867265883,61.66028443242337,30.65437475590098
260,Residence Hall,49484.0,2014.0,24.0,24.199928597114965,25.5083874959562,160.71976738083353
261,Primary/Secondary Classroom,24391.0,1981.0,1.0,9.947481501860734,82.59847373909983,0.0197319881440948
262,Recreation Center,283.0,1919.0,1.0,23.643429712445936,71.08674369732852,0.0197319881440948
263,Library,75393.0,1924.0,7.0,9.496399751923999,62.9956295630635,50.60201297478251
264,Education,141695.0,2005.0,7.0,14.951652946442872,71.01283890803272,1073.897001705921
265,Hospital,130151.0,1979.0,3.0,11.75012677151555,76.13527452909315,192.83257016185047
266,Police Station,25332.0,1909.0,29.0,15.739153175706983,61.40750601144808,1063.5824549356835
267,garage,265231.0,1900.0,19.0,21.758852903063897,63.1424271247605,0.0197319881440948
268,Police Station,25306.0,1954.0,8.0,15.409214465485084,61.61527456542471,71.34976260786293
269,Support,354543.0,1978.0,7.0,25.075584311937067,63.4351200651486,64.07558081158687
270,College Classroom,130540.0,1939.0,6.0,8.868448591967898,71.92388373404019,247.34746965847006
271,College Classroom,65905.0,2000.0,11.0,23.34840348214354,26.37513520431539,43.94158275986512
272,Support,201430.0,1978.0,9.0,13.223316566138866,62.6701625989763,314.2373699069142
273,College Classroom,171301.0,1944.0,10.0,22.968037439008178,63.15233613924349,45.9273703733822
274,Patient Care,107078.0,1913.0,11.0,13.317803997476188,63.26639025971617,99.1166781231926
275,Support,174155.0,1980.0,11.0,13.460557174669159,64.26799689113535,177.59201540281748
276,Maintenance Repair Shop,121607.0,1959.0,6.0,9.735894745981247,63.32827711663516,274.78767710107525
277,K-12 School,108659.0,1914.0,8.0,15.522208269869251,62.80695252136735,101.22973519410723
278,Education,74990.0,1926.0,7.0,15.059861561198067,71.46877877854824,14.944892054646505
279,Sports Stadium,90312.0,1955.0,10.0,24.559143340893403,28.17279966389604,102.22123508573596
280,Stadium,319927.0,2007.0,15.0,23.317799401353835,71.29875150525582,369.11329635089885
281,Library,74747.0,1920.0,7.0,10.409842460916849,71.32374395859203,468.3293553278712
282,Other - Lodging/Residential,8339.0,1910.0,2.0,15.650379274943722,62.16419666155272,17.991407847824398
283,Other - Recreation,283.0,1913.0,3.0,15.58087394018451,61.49704410804959,10.993863237845229
284,Gynasium,38270.0,1915.0,4.0,10.916094854367506,61.81110029718186,107.78820240226341
285,Public services,279522.0,1930.0,17.0,14.911494213512661,70.98436718831158,127.28088259584662
286,Central Plant,18002.0,1940.0,5.0,23.99605767258157,71.85849992537096,49.35352318844615
287,Police Station,92395.0,1909.0,10.0,15.365935403043537,62.43832875138512,171.88842791694205
288,Sports Facility,1312.0,1937.0,1.0,10.845964739414184,71.04791430983505,48.068830323370626
289,Social/Meeting Hall,22250.0,1968.0,26.0,15.748310287105303,61.02142780156089,1228.1964007210142
290,Public services,27755.0,1933.0,3.0,14.905859693135078,70.59057219127482,43.87095411918361
291,Police Station,17037.0,1943.0,27.0,15.53856411912668,61.04688207819891,125.81124088045785
292,Police Station,97904.0,1912.0,10.0,15.701466325402071,61.85711056960842,117.95724760790952
293,Retail,16556.0,2010.0,2.0,23.77901101967675,71.0657128252842,55.213403856092185
294,Fitness Center,9655.0,1953.0,12.0,24.543421751820176,25.5083874959562,48.86914752452358
295,Sports Stadium,15948.0,1948.0,9.0,25.075584311937067,28.29546527791506,1.0620730388921196
296,Research,486545.0,1906.0,22.0,12.871199286136012,63.17684038374041,132.65709883131308
