,building_type,sqft,yearbuilt,numberoffloors,airTemperature,humidity,power_consumption
32,Fitness Center,34816.0,1911.0,5.0,23.578446216862865,25.5083874959562,39.48320725627103
33,Student Union,99783.0,1918.0,9.0,10.391232171611804,63.45033415884991,92.4646835474916
34,Sports Facility,51406.0,1915.0,3.0,10.085358125187232,71.30037649391268,150.43930004202565
35,Support,41573.0,1918.0,5.0,15.9431662335774,62.52444111240263,31.015082521784635
36,Community Center,21008.0,1971.0,1.0,13.003855384733882,83.50573593070649,0.8288142944227062
37,Community Center,14268.0,1949.0,2.0,9.916380481879665,83.06578088014807,0.0197319881440948
38,College Laboratory,178927.0,2007.0,20.0,15.551839800970503,62.49957638093588,882.6660449307803
39,Library,21784.0,1916.0,6.0,10.32781745894015,70.8280257133216,40.65573424157794
40,Other/Specialty Hospital,15935.0,1909.0,11.0,15.41624966197983,62.64659430690719,678.3971308857748
41,Museum,30801.0,1920.0,6.0,22.071476560618216,62.70425135268933,9.357682852162629
42,Dormitory,139296.0,1925.0,6.0,9.075500353356375,76.90278649581036,42.02291898127176
43,Other - Lodging/Residential,34480.0,1965.0,5.0,15.8438776322937,60.92615505708198,0.0197319881440948
44,Other,283.0,1927.0,1.0,22.947158922917286,70.60045939183493,22.80158644387947
45,College Laboratory,577.0,2017.0,11.0,25.075584311937067,25.5083874959562,87.56339084238111
46,Warehouse,14812.0,1927.0,6.0,25.075584311937067,26.23056560792052,0.0197319881440948
47,Hotel,9088.0,1981.0,2.0,10.374543824421467,83.97851113535604,0.0197319881440948
48,Other - Lodging/Residential,2792.0,1900.0,4.0,15.763126847308806,61.84571410747353,5.602634143208018
49,Classroom,37967.0,2010.0,7.0,24.68774620299528,71.38069819314025,20.579325938526026
50,Education,283.0,1940.0,9.0,15.019363961822043,72.14092455913185,36.85520463798591
51,Warehouse (Unconditioned),86531.0,1904.0,5.0,9.250923953942667,63.35761590978495,0.0197319881440948
52,Student Union,80262.0,2005.0,20.0,9.548196665022317,63.19969793914757,93.1362083926399
53,Library,130253.0,1959.0,19.0,15.36904424840468,62.27757588829777,372.82590631832335
54,Maintenance Repair Shop,160641.0,1980.0,8.0,12.546498012389872,74.93170915011484,116.71104942768875
55,Campsites,181636.0,1913.0,5.0,10.142440288779799,47.58347476420771,65.90752021660907
56,College Laboratory,240572.0,1974.0,20.0,24.17990578096536,25.5083874959562,507.86013157855757
57,Social/Meeting Hall,1397.0,1931.0,2.0,15.3188160247698,61.74256582622532,27.026234127925452
58,Community Center,75337.0,1965.0,2.0,9.680923395365728,84.17497873648375,6.907317336737794
59,Library,134514.0,1999.0,12.0,15.53092819315128,61.75477068514799,27.72463356666526
60,Housing,95405.0,1937.0,7.0,12.353749762304595,62.94441379723384,148.44381793250497
61,Athletic Field,4258.0,1917.0,26.0,25.075584311937067,25.5083874959562,0.0197319881440948
62,Warehouse,10846.0,1930.0,6.0,25.01048816513645,28.29545178307972,0.0197319881440948
63,Animal Kennels,17527.0,1964.0,1.0,22.084386414988334,71.84763543589334,58.89483914043052
64,Lodging/residential,32742.0,2012.0,1.0,14.942878208597463,70.77692070607034,55.094205913159186
65,School,4193.0,1964.0,3.0,11.357921046748391,70.2923846535533,20.725585889332116
66,College Laboratory,182571.0,1956.0,11.0,22.01614144244055,62.61572136896872,141.63621020769736
67,K-12 School,16510.0,2002.0,8.0,15.948328009210698,60.91063234688237,58.95580411487711
68,Stadium,12344.0,2000.0,8.0,23.004013153974377,71.47043140395878,55.64029920142988
69,Classroom,86590.0,2013.0,9.0,25.075584311937067,71.06390841625972,109.84552944351711
70,Other - Public Services,283.0,1915.0,16.0,15.934658185010285,60.5112703692354,33.59029473557566
71,Academic,65315.0,1975.0,2.0,11.816039233228606,36.90014283092682,63.04297204787985
72,Residence Hall	,149182.0,1970.0,2.0,15.395938104746378,70.4575302447819,21.610935504319144
73,Parking,283.0,1972.0,2.0,15.21197070469721,70.72141534590222,31.345624925338658
74,Retail Store,10381.0,1966.0,12.0,9.491279147116371,62.22101092321763,87.89611276916013
75,College Classroom,65179.0,1976.0,7.0,24.077159867246746,26.64583577164128,28.195552163026314
76,Research,114510.0,1920.0,7.0,12.332633072745656,62.80476538221945,40.07881518318064
77,Other - Lodging/Residential,283.0,1926.0,5.0,15.70306621656063,61.72487702082585,43.30981798307336
78,Park,283.0,1911.0,1.0,24.055495472890662,71.12155062518569,0.0197319881440948
79,Athletic Field,11243.0,2004.0,28.0,23.967950178727758,71.88121274984937,301.46112599447036
80,Housing,110596.0,1910.0,3.0,13.386489309778504,62.93209922524078,21.810086739930824
81,Campsites,82556.0,1915.0,1.0,21.892784493978912,71.97143062730693,20.373287090271198
82,Police Station,5458.0,1951.0,2.0,15.764314257364878,61.43015015880214,67.46098098010762
83,Restaurant,31168.0,2017.0,6.0,24.870268862382826,25.5083874959562,13.422730383020827
84,Multifamily Housing,8841.0,1927.0,1.0,15.438503721750783,70.27717806273654,0.0197319881440948
85,Non-Refrigerated Warehouse,65829.0,1909.0,5.0,15.887337644407737,61.5599263179043,34.79665300215034
86,"Park, Community Centers",58162.0,1983.0,7.0,9.425844340937408,71.29390642608297,51.80821243630591
87,College Classroom,104517.0,1950.0,3.0,11.630564627976481,27.42732951459824,43.420043786627474
88,Research,236249.0,1913.0,18.0,13.88025833362793,63.39290390083111,0.0197319881440948
89,Lodging/residential,25725.0,1987.0,1.0,14.894358755985591,70.28336220618549,43.01199024092668
90,Other - Recreation,2280.0,1969.0,2.0,15.593876051326026,60.45894765473165,40.184748443468244
91,Other - Public Services,283.0,1918.0,5.0,15.658035618104929,60.40970529915992,18.505363241274924
92,Athletic Field,10262.0,1900.0,12.0,9.8120098504772,63.90666577743698,19.5038330622107
93,Community Center,4205.0,1913.0,1.0,9.314732912783276,82.95210204886361,12.558818396757154
94,Housing,52556.0,1923.0,4.0,12.869337714992307,63.26622687813299,63.94282834205953
95,Museum,182674.0,2017.0,10.0,21.90442269962458,63.26039675757928,94.20376792761836
96,Primary/Secondary Classroom,20452.0,1967.0,1.0,11.544795234519917,84.17497873648375,0.0197319881440948
97,Primary/Secondary Classroom,4207.0,1961.0,2.0,11.961005232972727,84.17497873648375,0.0197319881440948
98,Classroom,103395.0,2017.0,9.0,23.36362378136439,70.905425350041,134.6826148638304
99,Residence Hall/Dormitory,12046.0,1929.0,1.0,13.383616897362085,43.71960324747073,12.15940436700857
100,College Classroom,116020.0,1972.0,1.0,9.833074118115425,77.58975733403665,154.30167016562504
101,Sports Facility,131154.0,1971.0,2.0,10.719514498838725,70.78265440855292,34.09366423873606
102,Dormitory,18829.0,1932.0,8.0,8.63055802089151,73.0096170919019,32.08887763422295
103,Dormitory,134660.0,1949.0,9.0,21.66603358880506,71.38010303980705,45.655839504630194
104,Parking,37429.0,1908.0,7.0,15.114343178953737,60.81986460772304,16.50688275989367
105,Auditorium,26974.0,1914.0,25.0,25.075584311937067,26.84836207021932,34.3198279149895
106,Office,85363.0,1974.0,10.0,9.590589113239071,63.23204405511782,83.2972044496355
107,Housing,8598.0,1959.0,1.0,13.048082696676815,63.1789545227133,21.801961562128007
108,Housing,10072.0,1978.0,3.0,13.212239912542508,63.05016474990627,45.75155954443406
109,Student Union,20474.0,1909.0,10.0,21.701751317634237,63.69993334998411,45.51454749730131
110,Office,64145.0,1971.0,9.0,11.442410344795364,63.82470453039943,91.20729021933491
111,Utility,273111.0,1992.0,18.0,15.272914997190234,63.78484066857806,441.9023466879363
112,Classroom,126483.0,1923.0,5.0,22.54311530355198,63.36020712979633,84.91546620112263
113,Student Center,152357.0,1914.0,1.0,9.996419213367552,70.52303612869952,166.43456638583967
114,Multifamily Housing,24496.0,1988.0,4.0,15.720246082160072,61.68578346211785,9.25585149058849
115,Greenhouse,12050.0,1961.0,2.0,9.940766086527086,82.0596103783731,6.862842995096905
116,College Classroom,113801.0,1913.0,9.0,21.29093783312287,71.59964209244202,70.29904784621313
117,Health Services,18097.0,1906.0,2.0,25.075584311937067,71.6733598664563,53.252420528998826
118,Maintenance Repair Shop,237586.0,1985.0,13.0,8.950082199812082,63.47017149113263,134.18278137561126
119,"Fire Station, Fire Stations",1884.0,1965.0,1.0,22.378421333060643,70.99180500499601,0.0197319881440948
120,Athletic Field,21965.0,1900.0,10.0,22.85311749522173,62.95008601631833,0.0197319881440948
121,Swimming Pool,78198.0,1915.0,14.0,15.292763111703586,61.93294083505874,97.26140106269034
122,Research,69291.0,1900.0,29.0,22.317971498289342,62.16080200831954,90.32647004833296
123,K-12 School,46462.0,1983.0,6.0,15.707669373498053,61.63888949970348,166.49561563123402
124,Planetarium,73057.0,2004.0,6.0,23.977399065797417,70.96736267864232,15.72879898672339
125,Student Union,105454.0,1970.0,10.0,8.908178374081833,71.65775180849931,56.494609182133544
126,Sports Facility,108576.0,1912.0,6.0,13.202332557624171,45.50608379699508,20.15516060558415
127,Swimming Pool,79274.0,1979.0,8.0,15.348108468343867,62.00695412586835,164.22171579367009
128,Academic,138709.0,1967.0,1.0,11.838901019917085,42.20414984778146,142.3705253360207
129,Dormitory,13204.0,1949.0,2.0,9.843205404574375,62.6701661689723,6.835999081724545
130,Retail,27770.0,1943.0,9.0,21.770729983842635,71.23997937490914,73.13520681806138
131,Museum,113730.0,1967.0,8.0,9.391233195209502,77.25033314487128,105.81514496053317
132,"Fire Station, Fire Stations",1530.0,1904.0,1.0,22.59894352963838,70.8308842307997,0.0197319881440948
133,Academic,153064.0,1966.0,3.0,11.601217717367469,39.7907056125639,67.11723304252385
134,Police Station,25921.0,1923.0,9.0,15.913435468839074,62.01253782766524,141.17463800179522
135,Multifamily Housing,556426.0,2008.0,8.0,15.661401283116938,62.15120483525966,79.59212773544678
136,Dormitory,30745.0,1986.0,8.0,23.516086309717792,25.5083874959562,53.01714278453221
137,Primary/Secondary Classroom,21196.0,1958.0,2.0,10.62398392270417,83.1709748666238,0.0197319881440948
138,Support,253941.0,1975.0,6.0,11.895238062964678,62.10697186823563,550.3438301292788
139,Patient Care,471852.0,1921.0,29.0,10.971594030940677,63.78897612228236,351.37958181292305
140,Parking: Enclosed Garage,229782.0,1900.0,19.0,8.552328545626741,64.3249981229485,488.11590216841887
141,Sports Stadium,139108.0,2003.0,11.0,23.834972395717877,72.09118096649787,37.3075497046331
142,Campsites,24589.0,1942.0,8.0,23.944184351922434,48.63547289941891,44.08343271505097
143,Science Facility,3503.0,1925.0,3.0,11.370326747431863,83.95628922255689,4.868480488915424
144,Fitness Center,88056.0,2010.0,8.0,24.724122377296464,25.5083874959562,116.4018213984354
145,Other,8535.0,1962.0,2.0,22.540831892995445,71.08908587894774,25.765458996221085
146,Academic,33389.0,1919.0,2.0,11.879271502739519,40.90962660038739,31.52688509395879
147,"Community Center, Community Centers",283.0,1916.0,1.0,22.661098366556388,70.58633763038429,20.11541301281369
148,Services Plant,5267.0,1921.0,4.0,10.499543601694164,83.02417952587652,49.723590177812895
149,College Laboratory,141979.0,1913.0,8.0,21.56430859446493,75.6778110240619,362.6294452987281
150,Multifamily Housing,16775.0,1926.0,5.0,21.474474262053118,62.61470155308326,14.777817730405006
151,Other - Lodging/Residential,5271.0,1937.0,11.0,15.909011624127988,61.367306227573,20.477960351475616
152,College Classroom,264326.0,1962.0,8.0,9.16625611277248,71.64394326985239,190.2709919626308
153,Dining,153662.0,1972.0,6.0,13.807360152600179,80.74859863524723,0.0197319881440948
154,Other - Lodging/Residential,2515.0,1975.0,8.0,15.933122770996695,60.84415952693264,8.677982064895268
155,Auditorium,77809.0,1978.0,19.0,9.734791176462824,63.15246463082794,96.18253910819847
156,Residence Hall,71637.0,2005.0,22.0,22.857578759517317,70.96617567008622,134.2886869476942
157,Stadium,62160.0,2006.0,8.0,22.23611833486405,71.67531334339434,162.28595144856916
158,Market,13575.0,1945.0,1.0,13.690347664310131,84.17497873648375,0.0197319881440948
159,Fire Station,12458.0,1991.0,5.0,15.72782012912526,60.43991853614027,7.62297203040788
160,School,7739.0,1906.0,9.0,8.883977508492624,81.97725678388072,22.116864142221832
161,Fitness Center,6544.0,1917.0,8.0,24.96800615431754,25.5083874959562,40.81401807545953
162,Prison/Incarceration,17617.0,1913.0,4.0,22.136421097428833,62.53242933083799,58.80572086563497
163,Gymnasium,81798.0,1983.0,1.0,9.775984673251337,45.06967743326704,69.38216273118499
164,College Classroom,137356.0,1962.0,19.0,24.4729973215417,25.5083874959562,77.4636020244425
165,Other - Recreation,8721.0,1924.0,5.0,15.541053192621726,60.99211747120147,40.7361542258109
166,Ice arena,28824.0,1911.0,2.0,21.47225646219941,71.64118680073497,34.552845915341024
167,Theater,18253.0,1913.0,2.0,9.301835877466079,71.45606290652258,40.240190677300745
168,Swimming Pool,11920.0,2017.0,7.0,15.214480151409836,61.70593937128375,118.19146329096056
169,Research,53155.0,1962.0,20.0,13.953156209031123,62.55294597729061,146.605605874545
170,Office,8447.0,1973.0,6.0,10.224322563139498,84.17497873648375,17.810466653925864
171,Police Station,15924.0,1910.0,23.0,15.427230985229018,62.05572018090464,67.17630697690274
172,Primary/Secondary Classroom,56415.0,1951.0,1.0,13.133950819921072,84.17497873648375,36.73670139861237
173,College Laboratory,114278.0,2004.0,21.0,8.936478719986038,63.01424604206807,1186.0924555876436
174,Office,49467.0,1961.0,10.0,10.152964408915938,63.2577625058612,60.885366118222976
175,Retail,164503.0,1957.0,6.0,22.113204717295623,71.31517068482036,66.10423220454337
176,Auditorium,20224.0,1978.0,8.0,9.300091081611402,63.86395670184452,135.49757307561146
177,Research,71077.0,1969.0,11.0,13.051137719767153,63.35714753988638,371.6813544998523
178,"Fire Station, Fire Stations",2775.0,1971.0,1.0,23.393574513862642,71.13290757457092,0.0197319881440948
179,Animal Shelter,209452.0,1919.0,6.0,9.889473080552026,63.68223287979141,167.40569512575814
180,Museum,105647.0,1904.0,2.0,15.557548080625553,62.73723366221429,24.186265849329953
181,Restaurant,66058.0,1927.0,5.0,9.193160674220612,63.58743779964545,182.35614621293342
182,Industrial,7165.0,1909.0,2.0,10.462619488356612,84.17497873648375,0.0197319881440948
183,Chapel,29814.0,1961.0,6.0,11.844936684720748,63.68609236155851,33.93714187259839
184,Sports Facility,31800.0,1961.0,1.0,11.337562241513332,83.34043673787193,46.113899122157065
185,Housing,46167.0,1914.0,4.0,13.376701377656541,84.17497873648375,90.72762672636792
186,Research,51627.0,1968.0,8.0,12.708731359860629,63.77519886345875,20.503550436679333
187,Primary/Secondary Classroom,6173.0,1973.0,2.0,11.241379896710994,84.17497873648375,3.443040937382026
188,Student Union,142180.0,1913.0,6.0,9.941206953338678,68.98386240811877,68.80549698489523
189,Senior Care Community,19558.0,1990.0,2.0,15.47780381060814,70.00080606720549,75.50209796105815
190,Greenhouse,105738.0,1979.0,3.0,9.918231022443075,62.63752338316957,0.0197319881440948
191,Other,20977.0,1920.0,1.0,21.852027915871812,71.40190938263862,0.0197319881440948
192,Public services,14485.0,1993.0,4.0,15.05926352818304,71.14415469066118,55.9031190392891
193,"Office, Fire Stations",283.0,1928.0,5.0,10.293588342290391,70.63798006333705,20.381638029960712
194,Public Service,29687.0,1924.0,4.0,13.570902557343858,62.4451220299383,12.709643837943172
195,Research,63698.0,1980.0,16.0,13.240125020886504,62.32621110560766,146.92587707082868
196,Primary/Secondary Classroom,12618.0,1960.0,2.0,10.539120684767047,84.17497873648375,0.0197319881440948
197,"Community Center, Community Centers",90323.0,1995.0,1.0,22.64102921194685,71.42343222800075,74.72330631192669
198,"Fire Station, Fire Stations",12001.0,1905.0,3.0,23.24778974554928,70.585532580335,0.0197319881440948
199,K-12 School,25514.0,2006.0,10.0,15.779077412093466,62.50127443964399,142.2766340168658
200,Student Union,58794.0,1981.0,9.0,11.030884813328289,71.24612793836486,77.00475707222618
201,Housing,33276.0,1911.0,5.0,12.695117848729309,62.29670814073167,30.244398381607088
202,Parking Garage,24054.0,2002.0,2.0,24.75710271984242,70.65878970790959,39.941992872399524
203,garage,123809.0,1936.0,15.0,21.25037418737164,63.94038143970898,341.12395734399706
204,Athletic,61088.0,1957.0,20.0,13.480919505039148,61.80750671741645,105.25544429222282
205,Science Facility,20539.0,1916.0,7.0,10.8219166367514,63.17002270519119,18.196501779105006
206,Parking: Enclosed Garage,20918.0,1912.0,7.0,10.576593710906595,62.83602567664504,37.02209892522081
207,Gymnasium,20077.0,1975.0,2.0,9.902940262482927,70.8180962126981,73.44707337068905
208,Hospital,144577.0,1925.0,17.0,8.866425878022735,62.54694702396946,43.94862474604818
209,College Laboratory,85089.0,1969.0,8.0,11.904300836104019,63.13274522675962,83.22065946236728
210,Parking Garage,40526.0,1988.0,11.0,22.368508596675508,70.45160248273538,41.01614408091169
211,Support,17543.0,1943.0,9.0,13.458404373006552,63.63059433386083,24.87456921453596
212,K-12 School,205711.0,1907.0,16.0,15.604265228223086,62.38046261856502,126.45536022791126
213,Recreation Center,11907.0,1913.0,2.0,10.590767810659592,61.97912797501799,8.27712045892962
214,Athletic,66808.0,1981.0,10.0,12.50123788045335,63.36593354749323,29.939305474257267
215,Library,143984.0,1930.0,12.0,15.454330070815079,62.60652695134554,106.78844912586243
216,Office,149502.0,1947.0,7.0,10.295623621912014,62.59729590342656,147.35093329230605
217,Dormitory,283.0,1922.0,9.0,23.865188155677586,27.9280081278395,48.937872808613264
218,Sports Stadium,425028.0,2006.0,15.0,25.075584311937067,25.5083874959562,226.6236471660552
219,Fitness Center,88827.0,1983.0,9.0,25.075584311937067,25.5083874959562,1.4422985952925984
220,Community Center,10824.0,1912.0,1.0,13.320079920165991,82.9350321771116,0.0197319881440948
221,Police Station,74064.0,2007.0,10.0,15.714674041528855,62.20553188486581,58.88583226153406
222,Gymnasium,117988.0,1934.0,9.0,8.610492411570615,62.51946743394791,200.05205421592564
223,Animal Shelter,104262.0,1930.0,10.0,9.282732562947922,63.27418596570326,224.37559451972018
224,College Classroom,10863.0,1914.0,4.0,22.063446561557797,62.79804795498622,103.27142640243525
225,Market,142710.0,1937.0,7.0,11.355266899053618,70.7235381354252,98.10854993380579
226,Park,283.0,1917.0,1.0,22.992505756156287,25.5083874959562,0.0197319881440948
227,Patient Care,102210.0,1904.0,13.0,12.27148968023916,62.99394937298884,46.09285301404786
228,Support,108005.0,1991.0,8.0,13.215878372915704,63.44540948230665,168.11741676252703
229,"Performing Arts, Community Centers",22199.0,1980.0,1.0,11.047070575132834,70.61306657392794,0.0197319881440948
230,Student Union,218973.0,1931.0,15.0,24.995661313842373,26.14316404076168,266.9971147423551
231,Utility,33735.0,2009.0,1.0,14.900122245016245,71.67196790834949,142.934100782509
232,Parking: Enclosed Garage,27987.0,1905.0,5.0,12.523196871296502,63.53037782768466,74.67805281298024
233,Other - Recreation,8538.0,1925.0,7.0,15.712306853553914,60.93340856691591,0.0197319881440948
234,College Classroom,106297.0,1965.0,12.0,11.678101739282628,75.06608170122061,95.96992013616523
235,Sports Facility,41365.0,1964.0,1.0,22.197538759895398,70.3871082474729,16.935907107052138
236,Housing,42506.0,1936.0,6.0,11.931013282117215,63.0379316180854,42.639273677908534
237,Theater,11306.0,1922.0,13.0,23.93310457168204,71.52329118185934,35.53847731031439
238,Park,29466.0,1918.0,8.0,22.80050601152198,71.30482868220054,0.0197319881440948
239,Gymnasium,60827.0,1965.0,2.0,9.553400695253698,83.35547206264816,6.711567530216463
240,"Office, Fire Stations",6909.0,1919.0,5.0,10.08414588222524,70.75421131886583,9.931584568950015
241,Conference Center,91364.0,2003.0,9.0,9.8687088445515,71.6713858852289,235.04186409272168
242,Non-Refrigerated Warehouse,54297.0,1959.0,17.0,15.89166078790569,61.47751554956697,140.2269151253676
243,Office,109463.0,1966.0,8.0,9.74217649529319,63.58518706356794,86.2868444132178
244,Classroom,84060.0,2005.0,5.0,22.945817302617986,71.39818830527929,171.70065454044615
245,Stadium,19905.0,2005.0,5.0,22.775052141916685,70.85682044553619,10.752511879783441
246,Office,90497.0,1918.0,5.0,10.30869632172992,62.79520160318651,483.08929829378854
247,K-12 School,364334.0,2006.0,15.0,15.758526388493127,61.13786877800132,97.08275170969864
248,Gymnasium,48418.0,1976.0,1.0,9.77703314370805,70.82368890540934,20.644841137999684
249,Other - Lodging/Residential,283.0,1953.0,11.0,15.84935886124168,61.25608206856874,0.0197319881440948
250,Entertainment/public assembly,71011.0,1945.0,1.0,15.08318707496938,71.48065290109663,24.131349832919206
251,Sports Stadium,87245.0,2003.0,20.0,24.52403575917551,25.5083874959562,564.16988212206
252,Athletic,30020.0,1902.0,6.0,12.450784671520402,63.49912059171096,124.18320583791183
253,College Classroom,95776.0,2000.0,10.0,24.255445509514715,71.74922847508282,127.31311795419913
254,Community Center,11246.0,1964.0,1.0,9.884310897740493,82.37504962309711,0.0197319881440948
255,Other - Lodging/Residential,17361.0,1905.0,6.0,15.849894658772367,61.18929045835547,0.0197319881440948
256,Fitness Center,3097.0,1993.0,18.0,24.867143180995637,25.5083874959562,25.955693762367254
257,Entertainment/public assembly,101097.0,1974.0,1.0,14.947694065674114,70.90421055646155,35.27471729795357
258,College Laboratory,95455.0,2017.0,5.0,24.73603550459673,25.5083874959562,29.627628005376643
259,Warehouse (Unconditioned),3366.0,1908.0,5.0,10.381979085960388,62.70790723402595,0.0197319881440948
260,Academic,34882.0,1910.0,1.0,11.462879091187991,45.18963878759951,7.1847344431651265
261,Fitness Center,52392.0,1909.0,5.0,11.939539156724912,81.58576506051942,21.050045472616517
262,"Recreation Center, Community Centers",27291.0,1906.0,1.0,9.592277176788214,82.74567579068417,0.0197319881440948
263,Park,283.0,1917.0,1.0,23.10601693746359,70.71792370500665,1.1892442716023695
264,Services Plant,79399.0,1983.0,1.0,9.315347110171617,83.16954916540675,79.40768859017982
265,Utility,5385.0,1971.0,1.0,15.197690825495961,71.17735635063487,56.77872822545007
266,Primary/Secondary Classroom,66411.0,1960.0,3.0,11.174445046591563,84.17497873648375,4.257157801857744
267,Health Services,171624.0,1931.0,12.0,22.553601527544235,71.05127800738069,434.7331520525724
268,Primary/Secondary Classroom,68336.0,1956.0,2.0,10.451936906208266,84.17497873648375,33.27834206079878
269,College Laboratory,27679.0,1987.0,2.0,9.94580271075793,61.80604058093668,25.26848600664033
270,Office,113244.0,1939.0,7.0,10.509017766149249,75.56499683644773,33.511607191044405
271,Office,43666.0,1967.0,10.0,10.181574175197415,62.67009459764194,42.30198241901714
272,College Laboratory,8496.0,1998.0,26.0,24.787242561633008,25.54396566855349,117.92011589543424
273,Office,291141.0,1916.0,14.0,10.934469940279566,62.05948897601712,190.41562016743535
274,Senior Care Community,12405.0,2004.0,4.0,15.864855883585628,60.7156480732468,0.0197319881440948
275,College Laboratory,153929.0,1926.0,6.0,9.710923099052513,26.24692646980466,428.8011059704
276,Conference Center,283.0,1930.0,18.0,22.158907894451488,62.84330496993959,125.36891808722756
277,Community Center,283.0,1967.0,1.0,12.611531251019992,82.61838203528322,8.649752078544086
278,Student Union,100117.0,1959.0,10.0,10.151326443126242,72.04023032773217,43.61594810128389
279,Sports Facility,16729.0,1990.0,1.0,22.63930741846666,70.52124058768364,26.62376781246944
280,Industrial,11705.0,1982.0,1.0,11.263840797504914,83.40427555659933,51.53727717115725
281,Social/Meeting Hall,62058.0,1979.0,6.0,15.417187178664665,62.0723276457471,89.01829841789477
282,Primary/Secondary Classroom,68226.0,1931.0,2.0,11.532256676866346,83.91483618323205,41.38113840984438
283,Hospital,179057.0,1918.0,4.0,11.01549131087941,62.6507862886262,77.11990464942738
284,Warehouse (Unconditioned),39191.0,1963.0,7.0,21.55234315214519,71.98017105513208,80.40203896016658
285,Market,37547.0,1917.0,2.0,11.068711566806837,71.52362771356425,2.7505984792465554
286,Sports Arena,274756.0,1902.0,27.0,9.87081939730118,62.80653818184541,449.7535126432804
287,Other,283.0,1914.0,2.0,22.60293724521469,71.14919167512697,21.397466764869378
288,Gymnasium,35298.0,2011.0,9.0,10.335662789287055,73.42738797215421,4.992556521704913
289,Parking: Open Air Ramp,73533.0,1972.0,5.0,9.972812225339187,63.72968853045013,19.106472640587665
290,Stadium,8477.0,1931.0,9.0,25.075584311937067,25.56871879606636,23.302377378670457
291,Primary/Secondary Classroom,22928.0,1980.0,1.0,11.578756929182855,83.61772051445475,5.899469772049724
292,Primary/Secondary Classroom,34073.0,1962.0,3.0,10.63479772687107,84.17497873648375,0.0197319881440948
293,Sports Stadium,19454.0,1908.0,7.0,9.072459136186042,63.71545463764796,47.46670184925255
294,"Fire Station, Fire Stations",283.0,1919.0,1.0,22.709801744609774,71.00060700791768,23.127141834859785
295,Parking: Enclosed Garage,92911.0,1923.0,9.0,11.036419444870774,63.06468105161995,63.827883290029895
296,Sports Facility,38071.0,1969.0,8.0,10.486923046600142,70.69779645811832,40.88210216018886
