Building Area(m2),Building_height(m),Building Type,Temperature(degree C),Relative Humidity(%),Solar Radiation(W/m2),Energy Consumption(KW/m2/yr)
580.0,9.0,Single house,26.0,100,12.3,190.0
410.0,6.0,Single house,26.0,62,9.6,140.0
340.0,9.0,Single house,26.0,63,25.5,130.0
330.0,9.0,Townhouse,25.0,91,11.0,120.0
320.0,9.0,Single house,27.0,64,16.3,120.0
740.0,12.0,Single house,29.0,100,23.5,230.0
560.0,9.0,Townhouse,29.0,74,18.3,180.0
570.0,12.0,Duplex,26.0,70,12.6,190.0
670.0,12.0,Duplex,28.0,100,6.7,210.0
570.0,12.0,Apartment,26.0,97,18.4,190.0
50.0,9.0,Single house,27.0,100,7.6,50.0
460.0,12.0,Single house,27.0,90,14.7,160.0
610.0,12.0,Single house,26.0,68,11.0,200.0
440.0,9.0,Single house,24.0,100,17.5,150.0
370.0,12.0,Apartment,24.0,75,12.8,130.0
190.0,9.0,Single house,23.0,89,8.1,90.0
210.0,6.0,Single house,24.0,90,7.3,90.0
270.0,12.0,Apartment,25.0,77,8.9,110.0
570.0,12.0,Single house,26.0,86,16.2,190.0
370.0,9.0,Apartment,26.0,90,26.7,140.0
410.0,9.0,Single house,26.0,83,19.4,140.0
330.0,12.0,Townhouse,25.0,65,18.6,120.0
400.0,12.0,Apartment,25.0,82,26.7,140.0
520.0,12.0,Duplex,25.0,95,17.6,170.0
530.0,6.0,Single house,26.0,70,10.9,170.0
320.0,9.0,Single house,27.0,77,15.2,120.0
610.0,6.0,Single house,26.0,73,10.5,190.0
610.0,6.0,Single house,25.0,100,22.9,200.0
710.0,6.0,Single house,25.0,87,16.8,220.0
580.0,9.0,Single house,25.0,84,14.9,190.0
570.0,12.0,Single house,24.0,69,23.5,190.0
650.0,12.0,Single house,25.0,85,23.1,210.0
300.0,12.0,Duplex,26.0,70,29.6,120.0
250.0,6.0,Single house,26.0,79,24.1,100.0
700.0,9.0,Single house,28.0,71,29.8,220.0
510.0,9.0,Townhouse,26.0,87,27.1,170.0
720.0,9.0,Single house,24.0,86,24.5,220.0
190.0,9.0,Apartment,24.0,76,13.6,90.0
510.0,9.0,Single house,23.0,84,31.8,170.0
520.0,12.0,Single house,23.0,65,13.6,170.0
650.0,12.0,Single house,22.0,60,15.3,200.0
720.0,12.0,Single house,24.0,84,25.8,230.0
120.0,12.0,Single house,24.0,81,23.2,70.0
320.0,12.0,Single house,22.0,87,31.8,120.0
830.0,9.0,Single house,21.0,100,24.9,250.0
190.0,9.0,Townhouse,22.0,90,16.4,90.0
400.0,6.0,Single house,25.0,68,11.0,140.0
530.0,9.0,Single house,25.0,93,16.6,180.0
440.0,9.0,Single house,18.0,63,28.1,150.0
630.0,9.0,Single house,18.0,73,33.4,200.0
610.0,6.0,Single house,19.0,78,11.2,190.0
670.0,6.0,Townhouse,18.0,100,11.1,210.0
620.0,9.0,Single house,19.0,70,8.2,200.0
400.0,9.0,Single house,20.0,69,14.4,140.0
370.0,6.0,Single house,21.0,78,17.8,130.0
680.0,6.0,Single house,23.0,71,31.9,210.0
470.0,9.0,Single house,21.0,93,15.1,160.0
840.0,12.0,Apartment,19.0,65,3.8,250.0
670.0,6.0,Apartment,20.0,65,15.2,210.0
730.0,9.0,Single house,21.0,73,27.4,230.0
560.0,6.0,Single house,20.0,73,13.9,180.0
430.0,9.0,Duplex,16.0,100,24.9,150.0
560.0,9.0,Single house,17.0,90,17.2,180.0
430.0,9.0,Single house,21.0,80,24.2,150.0
760.0,12.0,Single house,21.0,64,10.3,230.0
870.0,9.0,Apartment,21.0,89,9.2,260.0
660.0,9.0,Single house,22.0,66,6.0,210.0
340.0,9.0,Single house,23.0,60,2.7,120.0
660.0,6.0,Single house,20.0,93,5.0,210.0
510.0,9.0,Single house,21.0,83,19.5,170.0
380.0,6.0,Single house,22.0,90,16.3,140.0
730.0,9.0,Townhouse,22.0,83,17.1,230.0
650.0,6.0,Townhouse,26.0,89,15.0,210.0
730.0,6.0,Single house,27.0,71,10.8,230.0
480.0,9.0,Townhouse,23.0,66,9.5,160.0
710.0,12.0,Duplex,21.0,87,22.9,220.0
370.0,12.0,Townhouse,22.0,69,9.0,130.0
340.0,9.0,Single house,21.0,70,10.2,120.0
650.0,9.0,Single house,20.0,73,11.5,200.0
930.0,9.0,Single house,22.0,79,14.2,280.0
610.0,12.0,Single house,21.0,74,15.4,190.0
640.0,9.0,Single house,17.0,62,6.0,200.0
450.0,9.0,Single house,21.0,71,33.3,150.0
520.0,9.0,Apartment,23.0,51,25.7,170.0
330.0,12.0,Single house,22.0,86,13.0,120.0
460.0,12.0,Townhouse,18.0,59,12.3,150.0
330.0,12.0,Duplex,22.0,65,26.4,120.0
470.0,9.0,Single house,22.0,79,4.0,160.0
610.0,6.0,Single house,22.0,70,8.8,190.0
360.0,6.0,Townhouse,20.0,98,16.8,130.0
1000.0,9.0,Single house,24.0,63,25.0,290.0
260.0,9.0,Single house,23.0,82,17.1,110.0
400.0,6.0,Apartment,20.0,78,10.3,140.0
570.0,12.0,Single house,22.0,64,12.6,180.0
490.0,9.0,Single house,20.0,85,11.4,160.0
410.0,9.0,Apartment,21.0,77,13.4,140.0
340.0,12.0,Single house,22.0,88,21.8,130.0
530.0,12.0,Single house,21.0,89,9.6,180.0
380.0,12.0,Single house,22.0,100,19.7,140.0
550.0,12.0,Apartment,24.0,95,8.4,180.0
350.0,9.0,Single house,24.0,74,11.9,130.0
420.0,12.0,Single house,25.0,76,20.0,150.0
490.0,6.0,Duplex,25.0,92,22.6,170.0
230.0,9.0,Single house,23.0,87,16.3,100.0
620.0,9.0,Duplex,23.0,87,23.1,200.0
660.0,9.0,Apartment,24.0,59,5.1,210.0
570.0,6.0,Single house,24.0,78,28.1,190.0
400.0,12.0,Single house,26.0,70,3.9,140.0
830.0,9.0,Single house,12.0,82,9.8,250.0
480.0,12.0,Single house,19.0,78,16.5,160.0
420.0,9.0,Single house,21.0,90,11.7,150.0
450.0,9.0,Single house,21.0,83,7.5,150.0
540.0,12.0,Single house,21.0,88,31.1,180.0
640.0,12.0,Apartment,22.0,73,14.3,200.0
780.0,9.0,Single house,23.0,67,13.3,240.0
620.0,12.0,Single house,23.0,74,11.2,200.0
290.0,9.0,Single house,20.0,79,11.5,110.0
330.0,12.0,Duplex,21.0,83,15.0,120.0
530.0,9.0,Single house,21.0,100,16.2,180.0
650.0,9.0,Duplex,22.0,78,21.3,210.0
640.0,9.0,Single house,22.0,67,26.8,200.0
430.0,9.0,Duplex,25.0,75,31.4,150.0
580.0,9.0,Single house,27.0,73,27.8,190.0
680.0,6.0,Townhouse,25.0,85,12.5,210.0
430.0,3.0,Single house,22.0,60,1.6,150.0
450.0,9.0,Single house,22.0,80,9.7,150.0
280.0,12.0,Single house,23.0,81,18.1,110.0
450.0,9.0,Single house,22.0,82,14.6,150.0
360.0,12.0,Apartment,23.0,71,16.9,130.0
800.0,9.0,Single house,22.0,76,29.0,240.0
510.0,6.0,Duplex,22.0,61,11.4,170.0
550.0,12.0,Single house,23.0,73,12.3,180.0
760.0,9.0,Single house,26.0,72,21.3,230.0
510.0,9.0,Single house,25.0,84,8.6,170.0
390.0,9.0,Single house,23.0,65,30.5,140.0
870.0,12.0,Single house,25.0,88,25.9,260.0
730.0,9.0,Single house,22.0,97,17.4,230.0
480.0,9.0,Apartment,23.0,53,23.5,160.0
90.0,9.0,Duplex,25.0,84,15.1,60.0
290.0,9.0,Duplex,26.0,87,11.0,110.0
240.0,9.0,Townhouse,25.0,71,23.7,100.0
530.0,9.0,Single house,24.0,74,13.0,170.0
530.0,9.0,Apartment,25.0,77,6.9,170.0
660.0,6.0,Single house,28.0,75,0.5,210.0
430.0,12.0,Apartment,25.0,75,2.2,150.0
340.0,12.0,Single house,23.0,58,26.8,120.0
450.0,9.0,Single house,25.0,93,16.3,160.0
450.0,9.0,Single house,26.0,92,2.6,160.0
630.0,9.0,Single house,27.0,69,19.3,200.0
50.0,9.0,Townhouse,27.0,61,10.9,50.0
520.0,12.0,Single house,29.0,85,16.8,170.0
320.0,12.0,Single house,29.0,72,19.4,120.0
730.0,3.0,Duplex,29.0,81,11.8,230.0
420.0,12.0,Apartment,28.0,75,15.3,150.0
320.0,9.0,Single house,24.0,87,31.8,120.0
130.0,9.0,Apartment,28.0,87,23.7,70.0
600.0,9.0,Apartment,23.0,70,24.0,190.0
500.0,3.0,Single house,24.0,62,25.6,170.0
650.0,6.0,Single house,29.0,59,27.2,210.0
410.0,9.0,Apartment,25.0,86,22.9,150.0
340.0,12.0,Single house,26.0,64,11.2,130.0
590.0,9.0,Single house,28.0,73,18.3,190.0
580.0,9.0,Apartment,27.0,71,10.5,190.0
760.0,9.0,Single house,27.0,78,12.1,230.0
160.0,6.0,Single house,26.0,55,12.7,80.0
450.0,12.0,Single house,27.0,81,10.7,160.0
440.0,12.0,Single house,28.0,85,11.8,150.0
560.0,12.0,Single house,29.0,80,25.7,180.0
710.0,6.0,Single house,26.0,75,21.5,220.0
510.0,9.0,Duplex,27.0,80,13.3,170.0
760.0,12.0,Single house,30.0,84,6.6,240.0
710.0,9.0,Single house,27.0,45,7.7,220.0
340.0,6.0,Single house,30.0,100,30.2,130.0
580.0,6.0,Single house,32.0,84,10.9,190.0
320.0,12.0,Single house,35.0,71,10.5,120.0
700.0,9.0,Single house,26.0,74,22.8,220.0
430.0,6.0,Single house,26.0,85,18.1,150.0
730.0,6.0,Duplex,25.0,77,11.7,230.0
610.0,9.0,Single house,26.0,54,12.6,190.0
550.0,6.0,Townhouse,27.0,100,11.3,180.0
460.0,9.0,Single house,29.0,77,31.0,160.0
360.0,9.0,Townhouse,29.0,91,16.3,130.0
460.0,9.0,Single house,29.0,70,31.1,160.0
290.0,9.0,Apartment,29.0,98,11.5,120.0
240.0,9.0,Apartment,23.0,82,23.6,100.0
760.0,9.0,Single house,25.0,86,29.8,240.0
350.0,9.0,Apartment,26.0,66,22.3,130.0
480.0,6.0,Single house,26.0,94,30.0,160.0
640.0,12.0,Single house,25.0,87,16.7,200.0
640.0,9.0,Duplex,29.0,95,14.8,210.0
440.0,12.0,Duplex,26.0,71,15.7,150.0
460.0,6.0,Single house,23.0,73,31.1,160.0
600.0,9.0,Single house,26.0,100,11.0,200.0
790.0,9.0,Single house,28.0,66,13.3,240.0
600.0,9.0,Single house,27.0,77,26.2,190.0
460.0,12.0,Single house,24.0,93,0.8,160.0
800.0,6.0,Single house,25.0,80,2.2,240.0
450.0,6.0,Townhouse,25.0,86,11.0,150.0
590.0,9.0,Single house,26.0,74,18.1,190.0
520.0,9.0,Single house,30.0,83,13.3,170.0
390.0,9.0,Single house,30.0,63,2.0,140.0
480.0,9.0,Single house,31.0,99,10.9,170.0
1000.0,12.0,Single house,22.0,77,21.3,300.0
580.0,9.0,Single house,22.0,70,10.7,190.0
510.0,6.0,Single house,23.0,87,28.6,170.0
640.0,6.0,Single house,29.0,73,17.4,200.0
370.0,9.0,Single house,23.0,62,8.4,130.0
300.0,6.0,Duplex,25.0,62,28.7,110.0
730.0,9.0,Single house,26.0,87,23.2,230.0
780.0,9.0,Single house,26.0,77,11.9,240.0
500.0,12.0,Single house,25.0,77,30.5,170.0
700.0,12.0,Single house,29.0,92,12.0,220.0
720.0,9.0,Single house,26.0,65,13.6,220.0
570.0,9.0,Townhouse,23.0,70,16.3,180.0
780.0,6.0,Single house,26.0,74,12.0,240.0
410.0,9.0,Single house,28.0,80,30.1,150.0
560.0,12.0,Apartment,27.0,78,23.0,180.0
430.0,9.0,Single house,24.0,75,13.1,150.0
530.0,12.0,Single house,25.0,78,10.4,180.0
530.0,12.0,Single house,25.0,77,20.0,180.0
560.0,9.0,Single house,26.0,70,27.0,180.0
420.0,9.0,Single house,30.0,69,32.5,150.0
450.0,9.0,Single house,30.0,82,19.7,160.0
540.0,6.0,Single house,31.0,68,0.3,180.0
580.0,12.0,Single house,22.0,65,16.3,190.0
550.0,9.0,Single house,22.0,75,7.0,180.0
830.0,9.0,Apartment,23.0,77,21.1,250.0
240.0,9.0,Duplex,30.0,100,9.2,100.0
790.0,12.0,Single house,26.0,70,13.4,240.0
650.0,9.0,Single house,29.0,90,26.8,210.0
310.0,9.0,Single house,24.0,88,4.7,120.0
470.0,9.0,Single house,26.0,64,2.8,160.0
440.0,12.0,Single house,27.0,88,22.8,150.0
360.0,9.0,Single house,27.0,64,4.1,130.0
540.0,12.0,Apartment,29.0,46,8.3,180.0
620.0,9.0,Single house,24.0,86,4.1,200.0
520.0,12.0,Single house,28.0,57,13.5,170.0
390.0,9.0,Single house,26.0,84,16.3,140.0
330.0,6.0,Single house,25.0,70,10.0,120.0
860.0,9.0,Single house,25.0,99,9.5,260.0
520.0,9.0,Single house,25.0,92,11.9,170.0
270.0,9.0,Single house,29.0,73,30.8,110.0
620.0,9.0,Duplex,28.0,70,26.7,200.0
640.0,3.0,Single house,30.0,64,6.6,200.0
380.0,6.0,Single house,26.0,73,6.1,140.0
550.0,9.0,Single house,29.0,75,6.8,180.0
540.0,12.0,Single house,24.0,74,27.9,180.0
770.0,9.0,Townhouse,26.0,81,17.7,240.0
540.0,9.0,Single house,27.0,86,1.7,180.0
750.0,9.0,Single house,27.0,83,20.8,230.0
660.0,9.0,Single house,29.0,69,13.3,210.0
780.0,6.0,Single house,24.0,61,15.5,240.0
230.0,9.0,Single house,28.0,96,16.9,100.0
310.0,6.0,Single house,26.0,70,22.5,120.0
320.0,6.0,Duplex,25.0,71,19.8,120.0
420.0,9.0,Single house,25.0,72,22.7,150.0
380.0,12.0,Single house,25.0,56,30.6,140.0
400.0,9.0,Single house,26.0,73,31.2,140.0
590.0,9.0,Single house,27.0,73,4.9,190.0
600.0,9.0,Single house,26.0,86,12.9,190.0
610.0,6.0,Single house,26.54621693121693,87,21.4,200.0
450.0,9.0,Single house,25.0,79,22.0,150.0
550.0,9.0,Single house,32.0,90,28.1,180.0
330.0,9.0,Apartment,31.0,83,30.3,130.0
410.0,9.0,Single house,33.0,79,16.8,150.0
520.0,9.0,Single house,27.0,81,12.5,170.0
740.0,12.0,Single house,27.0,76,9.4,230.0
400.0,9.0,Single house,27.0,74,11.0,140.0
570.0,12.0,Single house,28.0,75,17.9,190.0
440.0,9.0,Single house,33.0,65,24.2,150.0
360.0,9.0,Single house,27.0,82,11.0,130.0
350.0,9.0,Single house,27.0,67,13.6,130.0
380.0,12.0,Single house,28.0,89,16.2,140.0
550.0,9.0,Apartment,28.0,76,29.9,180.0
370.0,9.0,Single house,29.0,79,17.0,130.0
560.0,15.0,Duplex,28.0,85,9.0,180.0
930.0,12.0,Townhouse,28.0,87,18.9,280.0
680.0,12.0,Single house,27.0,59,12.8,210.0
500.0,9.0,Single house,27.0,76,27.4,170.0
470.0,9.0,Apartment,28.0,90,5.1,160.0
330.0,12.0,Single house,29.0,58,6.1,120.0
370.0,12.0,Single house,29.0,84,14.8,140.0
520.0,6.0,Single house,29.0,51,25.6,170.0
740.0,9.0,Single house,33.0,66,15.9,230.0
640.0,9.0,Single house,40.0,79,22.3,210.0
610.0,6.0,Single house,40.0,58,14.6,200.0
460.0,9.0,Single house,33.0,67,17.7,160.0
580.0,9.0,Apartment,35.0,61,19.4,190.0
560.0,9.0,Single house,25.0,99,10.0,180.0
130.0,9.0,Single house,27.0,81,18.0,70.0
460.0,6.0,Single house,28.0,86,32.8,160.0
480.0,9.0,Apartment,30.0,76,24.5,160.0
780.0,6.0,Single house,27.0,74,17.5,240.0
500.0,6.0,Single house,28.0,59,31.2,170.0
310.0,6.0,Single house,28.0,75,10.4,120.0
420.0,12.0,Single house,29.0,69,15.1,150.0
520.0,9.0,Single house,29.0,89,8.3,170.0
650.0,9.0,Single house,28.0,93,19.4,210.0
540.0,9.0,Single house,29.0,97,12.0,180.0
450.0,9.0,Single house,29.0,89,9.3,160.0
620.0,12.0,Duplex,30.0,71,23.3,200.0
480.0,6.0,Apartment,30.0,65,26.3,160.0
550.0,12.0,Townhouse,29.0,88,18.2,180.0
490.0,9.0,Townhouse,30.0,83,11.4,170.0
470.0,6.0,Apartment,29.0,57,20.6,160.0
460.0,9.0,Duplex,30.0,83,21.2,160.0
520.0,9.0,Single house,30.0,89,11.6,170.0
580.0,15.0,Single house,31.0,80,16.4,190.0
560.0,9.0,Duplex,27.0,77,10.9,180.0
490.0,9.0,Apartment,23.0,69,15.1,160.0
450.0,6.0,Single house,25.0,61,12.3,150.0
500.0,9.0,Single house,28.0,89,10.9,170.0
490.0,12.0,Single house,29.0,75,10.6,170.0
300.0,9.0,Single house,29.0,76,26.5,120.0
760.0,12.0,Single house,29.0,100,16.3,240.0
300.0,6.0,Apartment,29.0,87,4.8,120.0
500.0,6.0,Single house,29.0,83,13.9,170.0
790.0,6.0,Single house,29.0,81,33.7,240.0
780.0,9.0,Single house,27.0,98,12.9,240.0
720.0,12.0,Single house,29.0,100,21.5,230.0
430.0,9.0,Single house,29.0,90,28.5,150.0
480.0,3.0,Apartment,26.0,86,20.6,160.0
480.0,9.0,Single house,29.0,53,17.4,160.0
290.0,12.0,Single house,27.0,80,8.8,110.0
530.0,9.0,Single house,27.0,77,8.6,180.0
370.0,9.0,Apartment,29.0,80,32.1,140.0
520.0,12.0,Single house,28.0,90,16.3,170.0
600.0,9.0,Single house,28.0,45,14.7,190.0
260.0,9.0,Duplex,28.0,72,10.9,110.0
470.0,6.0,Single house,27.0,82,22.8,160.0
640.0,6.0,Single house,32.0,73,30.2,200.0
480.0,6.0,Single house,29.0,61,13.2,160.0
710.0,9.0,Apartment,28.0,90,4.0,220.0
590.0,9.0,Single house,27.0,82,13.2,190.0
680.0,6.0,Apartment,28.0,67,11.0,210.0
710.0,6.0,Single house,28.0,83,4.7,220.0
500.0,12.0,Apartment,29.0,89,24.4,170.0
410.0,9.0,Single house,29.0,79,4.9,140.0
490.0,9.0,Single house,30.0,89,16.3,170.0
470.0,6.0,Single house,29.0,80,27.2,160.0
590.0,9.0,Single house,29.0,74,30.0,190.0
150.0,12.0,Single house,29.0,64,12.1,80.0
630.0,9.0,Single house,29.0,78,30.5,200.0
600.0,12.0,Single house,29.0,81,19.8,190.0
720.0,12.0,Single house,29.0,90,8.7,230.0
510.0,9.0,Duplex,27.0,77,20.7,170.0
230.0,12.0,Single house,25.0,84,11.1,100.0
440.0,12.0,Single house,29.0,67,15.4,150.0
760.0,6.0,Single house,30.0,69,11.1,230.0
530.0,9.0,Single house,30.0,77,7.7,180.0
900.0,6.0,Single house,30.0,66,3.8,270.0
390.0,12.0,Apartment,30.0,89,11.7,140.0
550.0,12.0,Apartment,29.0,84,16.3,180.0
320.0,9.0,Single house,32.0,82,14.6,120.0
340.0,9.0,Single house,29.0,83,7.8,130.0
700.0,9.0,Apartment,29.0,100,25.0,220.0
330.0,9.0,Townhouse,29.0,73,13.4,120.0
630.0,9.0,Single house,29.0,52,10.6,200.0
560.0,9.0,Single house,29.0,81,20.2,180.0
590.0,9.0,Single house,30.0,78,12.6,190.0
300.0,6.0,Apartment,30.0,72,16.7,120.0
270.0,6.0,Single house,25.0,67,30.8,110.0
610.0,9.0,Single house,25.0,73,10.1,200.0
450.0,9.0,Single house,26.0,81,22.0,160.0
390.0,12.0,Single house,27.0,73,23.3,140.0
880.0,12.0,Single house,26.0,100,19.4,270.0
670.0,15.0,Single house,26.0,67,24.2,210.0
500.0,9.0,Single house,26.0,69,24.6,170.0
590.0,9.0,Duplex,25.0,51,16.3,190.0
400.0,6.0,Single house,27.0,82,14.0,140.0
350.0,9.0,Single house,29.0,54,24.9,130.0
540.0,9.0,Single house,29.0,72,11.1,180.0
520.0,12.0,Single house,26.0,75,11.6,170.0
250.0,9.0,Single house,28.0,70,15.1,100.0
820.0,9.0,Single house,26.0,100,30.2,250.0
610.0,9.0,Apartment,27.0,91,28.2,200.0
550.0,12.0,Single house,27.0,95,2.9,180.0
760.0,6.0,Single house,26.0,68,3.6,230.0
650.0,9.0,Single house,24.0,93,17.9,210.0
430.0,12.0,Apartment,24.0,85,11.0,150.0
460.0,6.0,Single house,23.0,88,10.8,160.0
390.0,9.0,Single house,24.0,91,1.0,140.0
520.0,9.0,Single house,25.0,68,9.9,170.0
500.0,9.0,Apartment,26.0,74,29.6,170.0
540.0,15.0,Single house,26.0,89,16.3,180.0
370.0,12.0,Duplex,26.0,46,14.8,130.0
240.0,9.0,Apartment,25.0,97,12.0,100.0
510.0,12.0,Single house,25.0,86,13.2,170.0
440.0,12.0,Single house,25.0,78,10.7,150.0
450.0,9.0,Apartment,26.0,82,9.8,150.0
650.0,9.0,Single house,27.0,66,23.6,210.0
470.0,9.0,Apartment,26.0,74,13.0,160.0
480.0,6.0,Single house,25.0,92,10.7,160.0
410.0,15.0,Single house,25.0,95,12.0,150.0
440.0,9.0,Single house,25.0,100,11.2,150.0
390.0,9.0,Single house,24.0,78,12.7,140.0
550.0,6.0,Single house,25.0,71,16.3,180.0
770.0,9.0,Single house,26.0,72,18.6,240.0
570.0,12.0,Single house,26.0,66,8.2,180.0
670.0,12.0,Single house,28.0,78,24.6,210.0
540.0,9.0,Single house,26.0,84,15.3,180.0
480.0,9.0,Apartment,24.0,78,16.6,160.0
830.0,9.0,Apartment,24.0,92,12.9,250.0
520.0,9.0,Single house,23.0,76,23.8,170.0
660.0,9.0,Single house,23.0,74,19.0,210.0
800.0,9.0,Single house,22.0,72,5.7,240.0
500.0,6.0,Single house,24.0,59,17.5,170.0
460.0,6.0,Apartment,24.0,59,8.0,150.0
460.0,9.0,Apartment,22.0,64,9.7,150.0
620.0,12.0,Single house,21.0,95,12.7,200.0
650.0,9.0,Apartment,22.0,90,19.0,210.0
830.0,6.0,Apartment,25.0,96,25.9,250.0
470.0,6.0,Duplex,25.0,62,4.8,160.0
310.0,9.0,Single house,18.0,55,25.6,120.0
440.0,9.0,Apartment,18.0,71,8.7,150.0
480.0,9.0,Single house,19.0,81,18.6,160.0
600.0,9.0,Single house,18.0,85,27.2,190.0
440.0,9.0,Single house,19.0,92,5.7,150.0
460.0,12.0,Townhouse,20.0,82,22.0,160.0
360.0,12.0,Single house,21.0,100,10.6,130.0
480.0,9.0,Single house,23.0,76,10.0,160.0
830.0,9.0,Single house,21.0,68,9.9,250.0
380.0,9.0,Single house,19.0,58,13.5,130.0
240.0,9.0,Duplex,20.0,68,10.7,100.0
500.0,9.0,Single house,21.0,82,16.3,170.0
470.0,6.0,Duplex,20.0,68,16.3,160.0
